fecha,proveedor_id,score_cumplimiento,is_outlier,year,month,quarter,day_of_week,day_of_month,week_of_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,risk_target,categoria_gasto_Logística,categoria_gasto_Materiales,categoria_gasto_Servicios,categoria_gasto_Tecnología,método_pago_Cheque,método_pago_Efectivo,método_pago_Transferencia,indicadores_economicos_encoded,estacionalidad_encoded,monto_scaled,tiempo_procesamiento_scaled
2020-01-19,1001,0.57,False,2020,1,1,6,19,3,0,0,0,0,0,False,False,False,True,False,False,True,2,1,-1.270705833503397,-0.7699830720120036
2020-01-14,1087,0.74,False,2020,1,1,1,14,3,0,0,0,0,0,False,False,True,False,False,False,True,0,1,-1.2514412063888298,-1.5403943882242361
2020-01-02,1029,0.77,False,2020,1,1,3,2,1,0,0,0,0,0,True,False,False,False,False,True,False,2,1,-1.3137045446196625,1.156045218518578
2020-01-01,1037,0.82,False,2020,1,1,2,1,1,1,0,1,0,0,False,True,False,False,True,False,False,0,1,-1.3482715143743897,0.0004282442002291439
2020-01-03,1001,0.74,False,2020,1,1,4,3,1,0,0,0,0,0,False,False,False,True,False,True,False,1,1,-1.3045754411906285,-0.38477741390588716
2020-01-07,1063,0.68,False,2020,1,1,1,7,2,0,0,0,0,0,True,False,False,False,False,False,True,1,1,-1.2880289412255046,1.156045218518578
2020-01-08,1059,0.24,False,2020,1,1,2,8,2,0,0,0,0,1,True,False,False,False,True,False,False,1,1,-1.5008194666390624,0.7708395604124618
2020-01-17,1020,0.4,False,2020,1,1,4,17,3,0,0,0,0,1,False,False,True,False,False,True,False,2,1,-1.380754322495579,-1.1551887301181198
2020-01-20,1032,0.48,False,2020,1,1,0,20,4,0,0,0,0,1,False,False,False,True,True,False,False,1,1,-1.4337538396252483,-1.5403943882242361
2020-01-01,1075,0.08,False,2020,1,1,2,1,1,1,0,1,0,1,False,False,False,True,False,True,False,2,1,-1.2005337754616476,-0.38477741390588716
2020-01-18,1057,0.53,False,2020,1,1,5,18,3,0,0,0,0,0,False,True,False,False,True,False,False,1,1,-1.3389125984458403,1.156045218518578
2020-01-07,1021,0.44,False,2020,1,1,1,7,2,0,0,0,0,1,False,False,False,True,False,False,True,1,1,-1.125591126912712,-1.1551887301181198
2020-01-23,1088,0.8,False,2020,1,1,3,23,4,0,0,0,0,0,False,True,False,False,False,False,True,2,1,-1.3686218074349445,-0.7699830720120036
2020-01-21,1048,0.98,False,2020,1,1,1,21,4,0,0,0,0,0,False,False,False,True,True,False,False,2,1,-1.1950103509043242,-1.5403943882242361
2020-01-23,1090,0.56,False,2020,1,1,3,23,4,0,0,0,0,0,False,False,True,False,False,True,False,1,1,-1.2025307668367486,-1.5403943882242361
2020-01-18,1058,0.32,False,2020,1,1,5,18,3,0,0,0,0,1,False,False,False,True,False,False,True,2,1,-1.4717679968727098,-0.7699830720120036
2020-01-14,1041,0.04,False,2020,1,1,1,14,3,0,0,0,0,1,False,True,False,False,False,False,True,1,1,-1.323150630806649,0.0004282442002291439
2020-01-08,1091,0.92,False,2020,1,1,2,8,2,0,0,0,0,0,False,True,False,False,False,False,True,2,1,-1.24515702321242,-0.7699830720120036
2020-01-15,1059,0.92,False,2020,1,1,2,15,3,0,0,0,0,0,False,False,True,False,True,False,False,0,1,-1.1775842237858818,-1.5403943882242361
2020-01-19,1079,0.25,False,2020,1,1,6,19,3,0,0,0,0,1,False,False,False,True,True,False,False,0,1,-1.3989174345262612,-1.5403943882242361
2020-01-09,1014,0.7,False,2020,1,1,3,9,2,0,0,0,0,0,False,False,False,True,False,True,False,0,1,-1.4428670939163846,1.156045218518578
2020-01-26,1061,0.08,False,2020,1,1,6,26,4,0,0,0,0,1,False,False,True,False,False,True,False,0,1,-1.2387777452086246,-1.1551887301181198
2020-01-28,1061,0.17,False,2020,1,1,1,28,5,0,0,0,0,1,False,False,False,True,False,True,False,0,1,-1.1978948940016922,-0.7699830720120036
2020-01-01,1046,0.22,False,2020,1,1,2,1,1,1,0,1,0,1,False,False,False,True,True,False,False,1,1,-1.3894792729082235,-1.1551887301181198
2020-01-25,1061,0.29,False,2020,1,1,5,25,4,0,0,0,0,1,False,True,False,False,True,False,False,0,1,-1.4944481132042158,-0.7699830720120036
2020-01-26,1050,1.0,False,2020,1,1,6,26,4,0,0,0,0,0,False,False,False,True,False,True,False,0,1,-1.143421407047544,0.7708395604124618
2020-01-06,1054,0.7,False,2020,1,1,0,6,2,0,0,0,0,0,False,False,False,True,False,True,False,0,1,-1.3691448289855663,-1.5403943882242361
2020-01-23,1063,0.38,False,2020,1,1,3,23,4,0,0,0,0,1,False,False,True,False,True,False,False,0,1,-1.3191804217632932,1.156045218518578
2020-01-14,1002,0.74,False,2020,1,1,1,14,3,0,0,0,0,0,False,False,True,False,False,True,False,2,1,-1.1861665319574475,-1.1551887301181198
2020-01-11,1050,0.92,False,2020,1,1,5,11,2,0,0,0,0,0,True,False,False,False,False,False,True,1,1,-1.2535253680223677,-0.7699830720120036
2020-01-09,1006,0.96,False,2020,1,1,3,9,2,0,0,0,0,0,False,True,False,False,True,False,False,0,1,-1.2287769391952212,1.5412508766246944
2020-01-05,1020,0.06,False,2020,1,1,6,5,1,0,0,0,0,1,False,False,False,True,False,True,False,0,1,-1.4475108913203896,0.7708395604124618
2020-01-07,1072,0.39,False,2020,1,1,1,7,2,0,0,0,0,1,False,False,False,True,True,False,False,0,1,-1.309330182559917,-0.38477741390588716
2020-01-25,1038,0.11,False,2020,1,1,5,25,4,0,0,0,0,1,True,False,False,False,False,False,True,1,1,-1.2451649477813689,0.0004282442002291439
2020-01-11,1017,0.34,False,2020,1,1,5,11,2,0,0,0,0,1,False,False,False,True,True,False,False,2,1,-1.4394119818547013,-1.1551887301181198
2020-01-04,1003,0.17,False,2020,1,1,5,4,1,0,0,0,0,1,False,True,False,False,True,False,False,1,1,-1.461695869738767,1.156045218518578
2020-01-03,1088,0.65,False,2020,1,1,4,3,1,0,0,0,0,0,True,False,False,False,True,False,False,2,1,-1.1261062238943849,-0.38477741390588716
2020-01-13,1059,0.39,False,2020,1,1,0,13,3,0,0,0,0,1,False,True,False,False,True,False,False,0,1,-1.3196479713312732,1.5412508766246944
2020-01-04,1013,0.23,False,2020,1,1,5,4,1,0,0,0,0,1,True,False,False,False,False,False,True,0,1,-1.425995686624359,0.0004282442002291439
2020-01-12,1008,0.27,False,2020,1,1,6,12,2,0,0,0,0,1,True,False,False,False,True,False,False,1,1,-1.1202499674412112,1.5412508766246944
2020-01-28,1089,0.36,False,2020,1,1,1,28,5,0,0,0,0,1,False,False,True,False,True,False,False,1,1,-1.1330719200003925,-0.38477741390588716
2020-01-12,1052,0.26,False,2020,1,1,6,12,2,0,0,0,0,1,False,True,False,False,False,True,False,2,1,-1.3023248636091656,0.0004282442002291439
2020-01-20,1001,0.45,False,2020,1,1,0,20,4,0,0,0,0,1,False,False,False,True,True,False,False,2,1,-1.1674883229450925,1.5412508766246944
2020-01-09,1083,0.03,False,2020,1,1,3,9,2,0,0,0,0,1,False,False,False,True,False,True,False,1,1,-1.455974330957723,1.156045218518578
2020-01-26,1091,0.28,False,2020,1,1,6,26,4,0,0,0,0,1,False,True,False,False,False,False,True,2,1,-1.4184911198298322,-0.7699830720120036
2020-01-02,1059,0.41,False,2020,1,1,3,2,1,0,0,0,0,1,False,False,False,True,False,False,True,1,1,-1.2432709758026022,-1.5403943882242361
2020-01-24,1070,0.6,False,2020,1,1,4,24,4,0,0,0,0,0,False,False,False,True,False,False,True,2,1,-1.1824419845515048,-0.7699830720120036
2020-01-15,1043,0.27,False,2020,1,1,2,15,3,0,0,0,0,1,False,True,False,False,False,False,True,1,1,-1.178424228094456,-0.38477741390588716
2020-01-18,1007,0.13,False,2020,1,1,5,18,3,0,0,0,0,1,True,False,False,False,False,True,False,1,1,-1.366260285888198,-1.1551887301181198
2020-01-04,1046,0.08,False,2020,1,1,5,4,1,0,0,0,0,1,False,True,False,False,True,False,False,1,1,-1.1653566138978615,-1.5403943882242361
2020-01-13,1034,0.94,False,2020,1,1,0,13,3,0,0,0,0,0,True,False,False,False,False,False,True,2,1,-1.1806668811069703,0.7708395604124618
2020-01-03,1077,0.42,False,2020,1,1,4,3,1,0,0,0,0,1,False,False,False,True,True,False,False,2,1,-1.1454580212673893,1.156045218518578
2020-01-18,1080,0.58,False,2020,1,1,5,18,3,0,0,0,0,0,False,False,False,True,False,True,False,2,1,-1.20793532285984,0.7708395604124618
2020-01-10,1035,0.92,False,2020,1,1,4,10,2,0,0,0,0,0,False,False,False,True,False,True,False,1,1,-1.2563068917234015,0.0004282442002291439
2020-01-27,1049,0.08,False,2020,1,1,0,27,5,0,0,0,0,1,False,False,True,False,False,True,False,2,1,-1.2930214196632577,-1.5403943882242361
2020-01-21,1003,0.88,False,2020,1,1,1,21,4,0,0,0,0,0,True,False,False,False,False,False,True,2,1,-1.3796607319806427,0.7708395604124618
2020-01-20,1001,0.55,False,2020,1,1,0,20,4,0,0,0,0,0,False,False,True,False,True,False,False,1,1,-1.143587822995469,0.7708395604124618
2020-01-28,1005,0.16,False,2020,1,1,1,28,5,0,0,0,0,1,False,False,True,False,True,False,False,0,1,-1.129648506214505,1.5412508766246944
2020-01-12,1053,0.41,False,2020,1,1,6,12,2,0,0,0,0,1,False,True,False,False,True,False,False,1,1,-1.4163911090583963,-0.7699830720120036
2020-01-19,1003,0.78,False,2020,1,1,6,19,3,0,0,0,0,0,False,False,True,False,False,True,False,2,1,-1.4074759689909804,1.5412508766246944
2020-01-07,1053,0.48,False,2020,1,1,1,7,2,0,0,0,0,1,False,True,False,False,False,False,True,1,1,-1.3325412450109937,-1.5403943882242361
2020-01-23,1092,0.99,False,2020,1,1,3,23,4,0,0,0,0,0,False,True,False,False,False,True,False,0,1,-1.3480020790301301,-1.5403943882242361
2020-01-03,1062,0.38,False,2020,1,1,4,3,1,0,0,0,0,1,False,False,True,False,False,True,False,1,1,-1.1210028014913487,-0.38477741390588716
2020-01-02,1017,0.75,False,2020,1,1,3,2,1,0,0,0,0,0,True,False,False,False,True,False,False,2,1,-1.4612917167223773,1.5412508766246944
2020-01-22,1089,0.39,False,2020,1,1,2,22,4,0,0,0,0,1,True,False,False,False,False,True,False,0,1,-1.5269150721875073,0.3856339023063455
2020-01-08,1043,0.83,False,2020,1,1,2,8,2,0,0,0,0,0,True,False,False,False,True,False,False,2,1,-1.3291019820872085,-0.7699830720120036
2020-01-25,1033,0.57,False,2020,1,1,5,25,4,0,0,0,0,0,True,False,False,False,False,False,True,0,1,-1.4600871822421577,-1.5403943882242361
2020-01-10,1073,0.06,False,2020,1,1,4,10,2,0,0,0,0,1,True,False,False,False,True,False,False,0,1,-1.382077725510031,-0.38477741390588716
2020-01-03,1061,0.04,False,2020,1,1,4,3,1,0,0,0,0,1,False,False,True,False,False,False,True,1,1,-1.2250523917892784,1.5412508766246944
2020-01-28,1099,0.13,False,2020,1,1,1,28,5,0,0,0,0,1,False,False,True,False,True,False,False,1,1,-1.234712441337883,-0.7699830720120036
2020-01-08,1013,0.01,False,2020,1,1,2,8,2,0,0,0,0,1,False,False,False,True,False,True,False,2,1,-1.4063586047691976,1.5412508766246944
2020-01-28,1094,0.08,False,2020,1,1,1,28,5,0,0,0,0,1,True,False,False,False,False,True,False,1,1,-1.3088784821298347,0.7708395604124618
2020-01-04,1047,0.69,False,2020,1,1,5,4,1,0,0,0,0,0,False,False,True,False,False,False,True,1,1,-1.3228970446002868,-0.38477741390588716
2020-01-13,1014,0.53,False,2020,1,1,0,13,3,0,0,0,0,0,False,False,False,True,False,False,True,0,1,-1.2698816783327203,-0.7699830720120036
2020-01-09,1071,0.75,False,2020,1,1,3,9,2,0,0,0,0,0,True,False,False,False,False,False,True,1,1,-1.430306652132514,0.0004282442002291439
2020-01-15,1077,0.91,False,2020,1,1,2,15,3,0,0,0,0,0,False,True,False,False,True,False,False,0,1,-1.2892017774299291,0.0004282442002291439
2020-01-21,1086,0.59,False,2020,1,1,1,21,4,0,0,0,0,0,False,False,False,True,True,False,False,0,1,-1.127469249753581,-0.7699830720120036
2020-01-27,1061,0.73,False,2020,1,1,0,27,5,0,0,0,0,0,False,False,True,False,False,False,True,0,1,-1.3320736954430137,1.5412508766246944
2020-01-12,1039,0.76,False,2020,1,1,6,12,2,0,0,0,0,0,False,True,False,False,False,True,False,2,1,-1.1577331785691023,-0.38477741390588716
2020-01-06,1084,0.38,False,2020,1,1,0,6,2,0,0,0,0,1,False,True,False,False,True,False,False,2,1,-1.3538345617764576,0.0004282442002291439
2020-01-12,1079,0.24,False,2020,1,1,6,12,2,0,0,0,0,1,False,True,False,False,True,False,False,2,1,-1.388892854806011,-0.38477741390588716
2020-01-12,1081,0.21,False,2020,1,1,6,12,2,0,0,0,0,1,False,False,False,True,True,False,False,0,1,-1.2662363766162656,0.0004282442002291439
2020-01-07,1052,0.25,False,2020,1,1,1,7,2,0,0,0,0,1,False,False,True,False,False,False,True,2,1,-1.2563385899991968,0.7708395604124618
2020-01-22,1023,0.27,False,2020,1,1,2,22,4,0,0,0,0,1,False,True,False,False,False,False,True,2,1,-1.1751672302564935,1.5412508766246944
2020-01-09,1025,0.21,False,2020,1,1,3,9,2,0,0,0,0,1,True,False,False,False,False,False,True,1,1,-1.4387304689251035,0.7708395604124618
2020-01-23,1088,0.88,False,2020,1,1,3,23,4,0,0,0,0,0,False,True,False,False,False,False,True,2,1,-1.326898951919438,0.0004282442002291439
2020-01-22,1059,0.76,False,2020,1,1,2,22,4,0,0,0,0,0,False,True,False,False,False,False,True,2,1,-1.296627098534968,0.7708395604124618
2020-01-21,1040,0.05,False,2020,1,1,1,21,4,0,0,0,0,1,False,False,False,True,False,True,False,0,1,-1.2149168681037452,0.0004282442002291439
2020-01-03,1028,0.27,False,2020,1,1,4,3,1,0,0,0,0,1,False,False,False,True,False,True,False,0,1,-1.5163040743650453,-0.7699830720120036
2020-01-20,1014,0.02,False,2020,1,1,0,20,4,0,0,0,0,1,False,False,True,False,False,False,True,0,1,-1.1209631786466046,0.7708395604124618
2020-01-21,1044,0.5,False,2020,1,1,1,21,4,0,0,0,0,0,True,False,False,False,True,False,False,0,1,-1.339055240686919,-1.1551887301181198
2020-01-06,1064,0.48,False,2020,1,1,0,6,2,0,0,0,0,1,False,False,False,True,False,False,True,0,1,-1.4182058353476747,1.5412508766246944
2020-01-18,1088,0.83,False,2020,1,1,5,18,3,0,0,0,0,0,False,True,False,False,False,True,False,0,1,-1.1671317173423958,-1.5403943882242361
2020-01-24,1070,0.31,False,2020,1,1,4,24,4,0,0,0,0,1,False,False,True,False,False,True,False,2,1,-1.2235784219647992,0.3856339023063455
2020-01-08,1008,0.82,False,2020,1,1,2,8,2,0,0,0,0,0,False,True,False,False,True,False,False,0,1,-1.1382070406792242,0.7708395604124618
2020-01-06,1087,0.97,False,2020,1,1,0,6,2,0,0,0,0,0,False,True,False,False,False,True,False,0,1,-1.3969283677201088,1.156045218518578
2020-01-15,1000,0.09,False,2020,1,1,2,15,3,0,0,0,0,1,False,False,False,True,False,False,True,1,1,-1.3046229886043215,1.5412508766246944
2020-01-13,1007,0.79,False,2020,1,1,0,13,3,0,0,0,0,0,False,False,True,False,True,False,False,2,1,-1.2965082300007358,-1.1551887301181198
2020-01-09,1087,0.59,False,2020,1,1,3,9,2,0,0,0,0,0,True,False,False,False,False,False,True,2,1,-1.12687490708242,-1.1551887301181198
2020-01-21,1062,0.48,False,2020,1,1,1,21,4,0,0,0,0,1,True,False,False,False,False,False,True,2,1,-1.503101742496321,0.0004282442002291439
2020-01-23,1010,0.42,False,2020,1,1,3,23,4,0,0,0,0,1,False,False,False,True,True,False,False,0,1,-1.4073412513188506,0.0004282442002291439
2020-01-18,1080,0.78,False,2020,1,1,5,18,3,0,0,0,0,0,False,False,False,True,False,False,True,0,1,-1.4550630055286093,0.3856339023063455
2020-01-08,1007,0.64,False,2020,1,1,2,8,2,0,0,0,0,0,False,False,True,False,False,True,False,0,1,-1.4228179344758847,-0.7699830720120036
2020-01-22,1034,0.81,False,2020,1,1,2,22,4,0,0,0,0,0,True,False,False,False,False,False,True,1,1,-1.3326838872520725,1.156045218518578
2020-01-11,1034,0.9,False,2020,1,1,5,11,2,0,0,0,0,0,True,False,False,False,True,False,False,0,1,-1.3794943160327175,-1.5403943882242361
2020-01-27,1032,0.62,False,2020,1,1,0,27,5,0,0,0,0,0,True,False,False,False,True,False,False,1,1,-1.3703414388968373,0.3856339023063455
2020-01-25,1004,0.98,False,2020,1,1,5,25,4,0,0,0,0,0,False,True,False,False,True,False,False,2,1,-1.183464253945902,-0.38477741390588716
2020-02-08,1085,0.5,False,2020,2,1,5,8,6,0,0,0,0,0,False,False,True,False,False,False,True,2,1,0.7927251276646287,-1.1551887301181198
2020-02-27,1089,0.07,False,2020,2,1,3,27,9,0,0,0,0,1,True,False,False,False,False,False,True,0,1,0.36941842812582276,-1.5403943882242361
2020-02-02,1043,0.41,False,2020,2,1,6,2,5,0,0,0,0,1,False,False,True,False,True,False,False,0,1,0.29968222137625816,0.7708395604124618
2020-02-26,1024,0.5,False,2020,2,1,2,26,9,0,0,0,0,0,False,True,False,False,False,False,True,1,1,0.39582309186327164,0.7708395604124618
2020-02-11,1016,0.72,False,2020,2,1,1,11,7,0,0,0,0,0,False,False,True,False,False,True,False,2,1,0.21493688103763953,-1.1551887301181198
2020-02-13,1012,0.11,False,2020,2,1,3,13,7,0,0,0,0,1,False,False,False,True,False,True,False,0,1,0.7153575610173559,0.7708395604124618
2020-02-09,1083,0.14,False,2020,2,1,6,9,6,0,0,0,0,1,False,False,False,True,False,False,True,2,1,0.44073162409620115,1.156045218518578
2020-02-03,1024,0.26,False,2020,2,1,0,3,6,0,0,0,0,1,True,False,False,False,True,False,False,0,1,0.13737120016664647,-1.5403943882242361
2020-02-07,1067,0.27,False,2020,2,1,4,7,6,0,0,0,0,1,False,True,False,False,False,True,False,0,1,0.8857754162616042,1.5412508766246944
2020-02-19,1009,0.73,False,2020,2,1,2,19,8,0,0,0,0,0,False,False,False,True,True,False,False,2,1,0.3074720726529424,0.7708395604124618
2020-02-23,1066,0.25,False,2020,2,1,6,23,8,0,0,0,0,1,False,False,False,True,True,False,False,0,1,0.4865197834824495,-0.7699830720120036
2020-02-11,1017,0.63,False,2020,2,1,1,11,7,0,0,0,0,0,False,True,False,False,False,True,False,2,1,0.8935097955556469,1.156045218518578
2020-02-07,1099,0.49,False,2020,2,1,4,7,6,0,0,0,0,1,False,False,True,False,True,False,False,0,1,0.5770025117400095,0.7708395604124618
2020-02-21,1085,0.57,False,2020,2,1,4,21,8,0,0,0,0,0,False,False,True,False,False,True,False,1,1,0.008058084059897195,1.156045218518578
2020-02-16,1033,0.84,False,2020,2,1,6,16,7,0,0,0,0,0,True,False,False,False,True,False,False,2,1,0.9309216855629986,0.3856339023063455
2020-02-13,1007,0.4,False,2020,2,1,3,13,7,0,0,0,0,1,False,False,True,False,False,True,False,0,1,0.5808934750938775,1.5412508766246944
2020-02-21,1039,0.77,False,2020,2,1,4,21,8,0,0,0,0,0,False,True,False,False,False,False,True,0,1,0.25253896069976256,0.0004282442002291439
2020-02-15,1082,0.42,False,2020,2,1,5,15,7,0,0,0,0,1,False,False,False,True,False,True,False,1,1,0.0331472693518427,-0.7699830720120036
2020-02-05,1041,0.35,False,2020,2,1,2,5,6,0,0,0,0,1,False,False,True,False,False,True,False,2,1,0.7674061298731671,-0.7699830720120036
2020-02-09,1040,0.96,False,2020,2,1,6,9,6,0,0,0,0,0,True,False,False,False,False,True,False,0,1,0.572327016060209,-1.5403943882242361
2020-02-05,1005,0.18,False,2020,2,1,2,5,6,0,0,0,0,1,False,False,True,False,False,True,False,1,1,0.47520349902354275,1.156045218518578
2020-02-08,1051,0.09,False,2020,2,1,5,8,6,0,0,0,0,1,False,True,False,False,True,False,False,0,1,0.8794040628267575,-1.1551887301181198
2020-02-24,1025,0.77,False,2020,2,1,0,24,9,0,0,0,0,0,True,False,False,False,False,False,True,2,1,0.761320060920478,-0.7699830720120036
2020-02-18,1063,0.07,False,2020,2,1,1,18,8,0,0,0,0,1,False,False,True,False,False,True,False,0,1,0.04705488785701169,1.156045218518578
2020-02-18,1097,0.84,False,2020,2,1,1,18,8,0,0,0,0,0,True,False,False,False,True,False,False,0,1,0.22653844997870334,1.156045218518578
2020-02-09,1058,0.44,False,2020,2,1,6,9,6,0,0,0,0,1,False,True,False,False,False,False,True,0,1,0.15562940702471426,-0.38477741390588716
2020-02-24,1055,0.92,False,2020,2,1,0,24,9,0,0,0,0,0,False,False,False,True,False,False,True,0,1,0.7112447097329213,-0.38477741390588716
2020-02-19,1058,0.72,False,2020,2,1,2,19,8,0,0,0,0,0,False,True,False,False,False,False,True,1,1,-0.08543598039821224,0.0004282442002291439
2020-02-14,1069,0.61,False,2020,2,1,4,14,7,0,0,0,0,0,False,True,False,False,False,False,True,1,1,0.5160546519546799,0.3856339023063455
2020-02-19,1032,0.95,False,2020,2,1,2,19,8,0,0,0,0,0,False,True,False,False,False,True,False,2,1,0.7320070803788142,0.0004282442002291439
2020-02-13,1052,0.4,False,2020,2,1,3,13,7,0,0,0,0,1,False,True,False,False,False,True,False,1,1,0.8601949076948322,0.7708395604124618
2020-02-12,1021,0.95,False,2020,2,1,2,12,7,0,0,0,0,0,False,False,False,True,True,False,False,1,1,0.260582398182809,-1.1551887301181198
2020-02-08,1020,0.14,False,2020,2,1,5,8,6,0,0,0,0,1,False,False,False,True,True,False,False,2,1,0.7979474186018969,0.7708395604124618
2020-02-05,1069,0.48,False,2020,2,1,2,5,6,0,0,0,0,1,True,False,False,False,True,False,False,1,1,0.001028991402299125,0.7708395604124618
2020-02-17,1069,0.27,False,2020,2,1,0,17,8,0,0,0,0,1,False,False,True,False,False,False,True,1,1,0.8261985069044194,-1.5403943882242361
2020-02-16,1003,0.54,False,2020,2,1,6,16,7,0,0,0,0,0,False,False,False,True,False,False,True,2,1,0.019929088345220818,0.7708395604124618
2020-02-03,1093,0.16,False,2020,2,1,0,3,6,0,0,0,0,1,False,False,False,True,False,True,False,2,1,0.3224891308109451,0.0004282442002291439
2020-02-25,1074,0.84,False,2020,2,1,1,25,9,0,0,0,0,0,False,False,True,False,False,False,True,2,1,0.7710752052964682,-0.7699830720120036
2020-02-02,1061,0.85,False,2020,2,1,6,2,5,0,0,0,0,0,False,False,False,True,False,False,True,0,1,0.04508167018875678,-0.7699830720120036
2020-02-28,1061,0.96,False,2020,2,1,4,28,9,0,0,0,0,0,False,True,False,False,False,False,True,0,1,0.1340508057770933,-0.38477741390588716
2020-02-04,1093,0.15,False,2020,2,1,1,4,6,0,0,0,0,1,False,True,False,False,True,False,False,2,1,0.686916283060062,-1.1551887301181198
2020-02-05,1094,0.62,False,2020,2,1,2,5,6,0,0,0,0,0,False,False,True,False,True,False,False,2,1,0.6844358929790831,-1.1551887301181198
2020-02-21,1023,0.47,False,2020,2,1,4,21,8,0,0,0,0,1,True,False,False,False,False,True,False,2,1,0.5959660052345219,-1.5403943882242361
2020-02-06,1054,0.34,False,2020,2,1,3,6,6,0,0,0,0,1,True,False,False,False,False,False,True,0,1,0.6551783844200612,0.0004282442002291439
2020-02-26,1008,0.35,False,2020,2,1,2,26,9,0,0,0,0,1,False,False,True,False,False,False,True,0,1,0.4855926089154382,-0.38477741390588716
2020-02-22,1002,0.41,False,2020,2,1,5,22,8,0,0,0,0,1,False,False,True,False,False,True,False,1,1,0.15933810529275952,-1.1551887301181198
2020-02-14,1030,0.7,False,2020,2,1,4,14,7,0,0,0,0,0,False,True,False,False,False,False,True,1,1,0.26463977748460177,-0.7699830720120036
2020-02-20,1039,0.6,False,2020,2,1,3,20,8,0,0,0,0,0,True,False,False,False,False,False,True,2,1,0.08061543735523957,0.7708395604124618
2020-02-03,1035,0.46,False,2020,2,1,0,3,6,0,0,0,0,1,False,False,False,True,True,False,False,0,1,0.895728674861315,0.7708395604124618
2020-02-13,1023,0.08,False,2020,2,1,3,13,7,0,0,0,0,1,False,True,False,False,False,True,False,0,1,0.5311985032158638,-0.38477741390588716
2020-02-13,1094,0.08,False,2020,2,1,3,13,7,0,0,0,0,1,False,False,True,False,False,True,False,0,1,0.3264910381300964,0.0004282442002291439
2020-02-20,1005,0.0,False,2020,2,1,3,20,8,0,0,0,0,1,True,False,False,False,False,True,False,2,1,0.3950702578131341,0.0004282442002291439
2020-02-15,1065,0.97,False,2020,2,1,5,15,7,0,0,0,0,0,False,False,False,True,False,True,False,1,1,0.9392741812350487,0.3856339023063455
2020-02-17,1083,0.01,False,2020,2,1,0,17,8,0,0,0,0,1,False,False,False,True,True,False,False,2,1,0.04893301069788056,1.5412508766246944
2020-02-09,1091,0.1,False,2020,2,1,6,9,6,0,0,0,0,1,False,True,False,False,True,False,False,1,1,0.5343762553643381,-1.1551887301181198
2020-02-18,1074,0.31,False,2020,2,1,1,18,8,0,0,0,0,1,True,False,False,False,False,False,True,1,1,0.4442818309852699,0.0004282442002291439
2020-02-28,1003,0.81,False,2020,2,1,4,28,9,0,0,0,0,0,True,False,False,False,False,False,True,2,1,0.5626669665116049,-0.7699830720120036
2020-02-01,1078,0.96,False,2020,2,1,5,1,5,1,0,0,0,0,False,False,True,False,False,False,True,1,1,-0.10272738984452486,-0.38477741390588716
