ID_transaccion,proveedor_id,fecha_factura,fecha_vencimiento,monto,condiciones_pago,estado_pago,dias_credito,descuento_pronto_pago,penalizacion_mora,metodo_pago,aprobador,duplicate_has_anomaly,duplicate_type,duplicate_description,format_has_anomaly,format_type,format_description,temporal_has_anomaly,temporal_type,temporal_description,business_rules_has_anomaly,business_rules_type,business_rules_description,approver_has_anomaly,approver_type,approver_description,amount_has_anomaly,amount_type,amount_description,discount_penalty_has_anomaly,discount_penalty_type,discount_penalty_description,cross_consistency_has_anomaly,cross_consistency_type,cross_consistency_description,total_anomalies,has_any_anomaly
14,1002,2022-01-17,2023-09-12,4645.97,30 días,Pendiente,90,0,2,Transferencia,David,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (603 días) vs esperada (30 días): 573 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '30 días' (esperado: 30 días) vs dias_credito otorgados: 90 días,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-09-12),3,True
15,1021,2022-01-16,2023-03-27,4169.83,90 días,Retrasado,90,0,2,Cheque,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (435 días) vs esperada (90 días): 345 días de diferencia,False,,,False,,,False,,,False,,,False,,,1,True
16,1052,2022-02-17,2023-02-09,7247.1,30 días,Retrasado,60,0,2,Efectivo,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (357 días) vs esperada (30 días): 327 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '30 días' (esperado: 30 días) vs dias_credito otorgados: 60 días,False,,,False,,,False,,,False,,,2,True
17,1001,2022-04-22,2023-09-10,3909.56,60 días,Pendiente,30,10,2,Transferencia,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (506 días) vs esperada (60 días): 446 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '60 días' (esperado: 60 días) vs dias_credito otorgados: 30 días,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-09-10),3,True
18,1087,2022-04-30,2023-06-15,4944.83,90 días,Retrasado,90,0,1,Transferencia,John Doe,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (411 días) vs esperada (90 días): 321 días de diferencia,False,,,True,ATYPICAL_APPROVER,Aprobador atípico: John Doe. Monto promedio alto ($5751.04); Nombre sospechoso,False,,,False,,,False,,,2,True
19,1029,2022-09-16,2023-05-05,4353.13,60 días,Pagado,60,0,1,Transferencia,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (231 días) vs esperada (60 días): 171 días de diferencia,False,,,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Penalización de 1% en pago marcado como pagado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pagado' pero tiene penalización por mora (1%),3,True
20,1037,2022-11-05,2023-06-20,7432.2,90 días,Retrasado,90,5,2,Cheque,David,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (227 días) vs esperada (90 días): 137 días de diferencia,False,,,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Descuento de 5% aplicado a pago retrasado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Retrasado' pero tiene descuento pronto pago (5%),3,True
21,1001,2022-01-14,2023-05-24,8643.43,30 días,Pagado,30,0,2,Efectivo,David,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (495 días) vs esperada (30 días): 465 días de diferencia,False,,,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Penalización de 2% en pago marcado como pagado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pagado' pero tiene penalización por mora (2%),3,True
22,1063,2022-10-15,2023-01-27,5365.7,30 días,Pagado,30,10,2,Transferencia,David,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (104 días) vs esperada (30 días): 74 días de diferencia,False,,,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Penalización de 2% en pago marcado como pagado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pagado' pero tiene penalización por mora (2%),3,True
23,1059,2022-04-12,2023-09-18,7915.38,30 días,Pagado,30,5,0,Cheque,Alice,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (524 días) vs esperada (30 días): 494 días de diferencia,False,,,False,,,False,,,False,,,False,,,1,True
24,1020,2022-11-29,2023-04-26,3038.19,60 días,Pendiente,30,10,1,Cheque,David,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (148 días) vs esperada (60 días): 88 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '60 días' (esperado: 60 días) vs dias_credito otorgados: 30 días,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-04-26),3,True
25,1032,2022-12-26,2023-10-10,5459.56,90 días,Retrasado,30,5,1,Cheque,Charlie,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (288 días) vs esperada (90 días): 198 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 30 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Descuento de 5% aplicado a pago retrasado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Retrasado' pero tiene descuento pronto pago (5%),4,True
26,1075,2022-10-07,2023-11-27,3517.78,60 días,Pagado,30,5,0,Cheque,Charlie,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (416 días) vs esperada (60 días): 356 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '60 días' (esperado: 60 días) vs dias_credito otorgados: 30 días,False,,,False,,,False,,,False,,,2,True
27,1057,2022-08-03,2023-07-14,4200.59,90 días,Pagado,60,0,0,Cheque,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (345 días) vs esperada (90 días): 255 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 60 días,False,,,False,,,False,,,False,,,2,True
28,1021,2022-04-23,2023-07-27,7350.9,30 días,Retrasado,90,10,0,Cheque,David,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (460 días) vs esperada (30 días): 430 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '30 días' (esperado: 30 días) vs dias_credito otorgados: 90 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Descuento de 10% aplicado a pago retrasado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Retrasado' pero tiene descuento pronto pago (10%),4,True
29,1088,2022-08-18,2023-05-02,8828.46,60 días,Pendiente,30,0,1,Cheque,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (257 días) vs esperada (60 días): 197 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '60 días' (esperado: 60 días) vs dias_credito otorgados: 30 días,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-05-02),3,True
30,1048,2022-10-29,2023-02-11,1302.8,30 días,Pendiente,90,5,0,Efectivo,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (105 días) vs esperada (30 días): 75 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '30 días' (esperado: 30 días) vs dias_credito otorgados: 90 días,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-02-11),3,True
31,1090,2022-05-23,2023-08-25,6382.93,60 días,Pagado,90,0,0,Efectivo,Charlie,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (459 días) vs esperada (60 días): 399 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '60 días' (esperado: 60 días) vs dias_credito otorgados: 90 días,False,,,False,,,False,,,False,,,2,True
32,1058,2022-01-04,2023-08-17,5863.22,30 días,Pendiente,60,5,0,Cheque,Charlie,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (590 días) vs esperada (30 días): 560 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '30 días' (esperado: 30 días) vs dias_credito otorgados: 60 días,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-08-17),3,True
33,1041,2022-03-23,2023-10-22,1272.31,60 días,Retrasado,-30,5,2,Transferencia,Bob,False,,,True,FORMAT_ANOMALY,Días de crédito negativos: -30,True,TEMPORAL_ANOMALY,Diferencia real (578 días) vs esperada (60 días): 518 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '60 días' (esperado: 60 días) vs dias_credito otorgados: -30 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Descuento de 5% aplicado a pago retrasado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Retrasado' pero tiene descuento pronto pago (5%),5,True
34,1091,2022-12-24,2023-08-19,3307.447557095138,60 días,Pendiente,30,10,0,Transferencia,Charlie,False,,,True,FORMAT_ANOMALY,Monto con 12 decimales,True,TEMPORAL_ANOMALY,Diferencia real (238 días) vs esperada (60 días): 178 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '60 días' (esperado: 60 días) vs dias_credito otorgados: 30 días,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-08-19),4,True
35,1059,2022-08-05,2023-02-16,3178.92,90 días,Retrasado,60,10,2,Transferencia,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (195 días) vs esperada (90 días): 105 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 60 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Descuento de 10% aplicado a pago retrasado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Retrasado' pero tiene descuento pronto pago (10%),4,True
36,1079,2022-06-24,2023-09-14,1752.62,30 días,Pagado,60,10,1,Cheque,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (447 días) vs esperada (30 días): 417 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '30 días' (esperado: 30 días) vs dias_credito otorgados: 60 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Penalización de 1% en pago marcado como pagado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pagado' pero tiene penalización por mora (1%),4,True
37,1014,2022-05-23,2023-08-18,2512.92,90 días,Retrasado,60,10,1,Transferencia,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (452 días) vs esperada (90 días): 362 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 60 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Descuento de 10% aplicado a pago retrasado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Retrasado' pero tiene descuento pronto pago (10%),4,True
38,1061,2022-03-21,2023-06-12,2749.25,90 días,Pagado,60,0,1,Efectivo,Alice,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (448 días) vs esperada (90 días): 358 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 60 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Penalización de 1% en pago marcado como pagado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pagado' pero tiene penalización por mora (1%),4,True
39,1061,2022-04-21,2023-03-03,3423.17,30 días,Retrasado,60,10,2,Efectivo,Charlie,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (316 días) vs esperada (30 días): 286 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '30 días' (esperado: 30 días) vs dias_credito otorgados: 60 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Descuento de 10% aplicado a pago retrasado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Retrasado' pero tiene descuento pronto pago (10%),4,True
40,1046,2022-06-22,2023-09-13,7518.97,60 días,Retrasado,90,10,0,Efectivo,Charlie,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (448 días) vs esperada (60 días): 388 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '60 días' (esperado: 60 días) vs dias_credito otorgados: 90 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Descuento de 10% aplicado a pago retrasado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Retrasado' pero tiene descuento pronto pago (10%),4,True
41,1061,2022-02-22,2023-12-02,9551.085614603944,90 días,Pendiente,60,10,1,Efectivo,David,False,,,True,FORMAT_ANOMALY,Monto con 12 decimales,True,TEMPORAL_ANOMALY,Diferencia real (648 días) vs esperada (90 días): 558 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 60 días,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-12-02),4,True
42,1050,2022-02-17,2023-01-11,9863.84,30 días,Retrasado,30,5,0,Cheque,Charlie,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (328 días) vs esperada (30 días): 298 días de diferencia,False,,,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Descuento de 5% aplicado a pago retrasado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Retrasado' pero tiene descuento pronto pago (5%),3,True
43,1054,2022-07-14,2023-02-23,4205.88,60 días,Pagado,30,5,2,Efectivo,David,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (224 días) vs esperada (60 días): 164 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '60 días' (esperado: 60 días) vs dias_credito otorgados: 30 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Penalización de 2% en pago marcado como pagado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pagado' pero tiene penalización por mora (2%),4,True
44,1063,2022-02-19,2023-07-27,7563.26,90 días,Retrasado,60,10,1,Transferencia,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (523 días) vs esperada (90 días): 433 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 60 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Descuento de 10% aplicado a pago retrasado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Retrasado' pero tiene descuento pronto pago (10%),4,True
45,1002,2022-07-03,2023-08-01,8727.54,90 días,Pagado,60,5,0,Transferencia,Alice,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (394 días) vs esperada (90 días): 304 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 60 días,False,,,False,,,False,,,False,,,2,True
46,1050,2022-06-26,2023-01-20,6821.89,90 días,Pagado,60,5,0,Efectivo,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (208 días) vs esperada (90 días): 118 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 60 días,False,,,False,,,False,,,False,,,2,True
47,1006,2022-11-06,2023-10-14,4177.46,60 días,Retrasado,60,0,1,Efectivo,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (342 días) vs esperada (60 días): 282 días de diferencia,False,,,False,,,False,,,False,,,False,,,1,True
48,1020,2022-05-16,2023-10-10,7560.59,90 días,Pendiente,60,5,0,Efectivo,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (512 días) vs esperada (90 días): 422 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 60 días,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-10-10),3,True
49,1072,2022-01-23,2023-01-02,2116.3,60 días,Retrasado,30,0,2,Transferencia,David,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (344 días) vs esperada (60 días): 284 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '60 días' (esperado: 60 días) vs dias_credito otorgados: 30 días,False,,,False,,,False,,,False,,,2,True
50,1038,2022-08-24,2023-02-17,3342.77,90 días,Retrasado,90,5,1,Transferencia,Alice,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (177 días) vs esperada (90 días): 87 días de diferencia,False,,,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Descuento de 5% aplicado a pago retrasado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Retrasado' pero tiene descuento pronto pago (5%),3,True
51,1017,2022-10-02,2023-11-07,5512.18,30 días,Pendiente,60,10,1,Efectivo,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (401 días) vs esperada (30 días): 371 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '30 días' (esperado: 30 días) vs dias_credito otorgados: 60 días,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-11-07),3,True
52,1003,2022-03-05,2023-11-14,5796.55,90 días,Pagado,60,5,1,Transferencia,David,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (619 días) vs esperada (90 días): 529 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 60 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Penalización de 1% en pago marcado como pagado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pagado' pero tiene penalización por mora (1%),4,True
53,1088,2022-07-13,2023-11-24,319.2,30 días,Retrasado,60,5,1,Transferencia,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (499 días) vs esperada (30 días): 469 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '30 días' (esperado: 30 días) vs dias_credito otorgados: 60 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Descuento de 5% aplicado a pago retrasado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Retrasado' pero tiene descuento pronto pago (5%),4,True
54,1059,2022-02-10,2023-06-06,9456.63,30 días,Pendiente,30,0,2,Cheque,Alice,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (481 días) vs esperada (30 días): 451 días de diferencia,False,,,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-06-06),2,True
55,1013,2022-10-10,2023-09-19,6996.61,30 días,Pendiente,30,10,2,Efectivo,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (344 días) vs esperada (30 días): 314 días de diferencia,False,,,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-09-19),2,True
56,1008,2022-05-31,2023-10-16,5007.47,60 días,Pagado,90,0,0,Efectivo,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (503 días) vs esperada (60 días): 443 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '60 días' (esperado: 60 días) vs dias_credito otorgados: 90 días,False,,,False,,,False,,,False,,,2,True
57,1089,2022-11-18,2023-04-17,9337.96,30 días,Pendiente,90,10,2,Cheque,Charlie,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (150 días) vs esperada (30 días): 120 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '30 días' (esperado: 30 días) vs dias_credito otorgados: 90 días,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-04-17),3,True
58,1052,2022-11-13,2023-12-03,4447.05,90 días,Pagado,90,10,0,Cheque,David,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (385 días) vs esperada (90 días): 295 días de diferencia,False,,,False,,,False,,,False,,,False,,,1,True
59,1001,2022-07-05,2023-12-11,9806.31,60 días,Retrasado,90,0,0,Transferencia,Alice,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (524 días) vs esperada (60 días): 464 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '60 días' (esperado: 60 días) vs dias_credito otorgados: 90 días,False,,,False,,,False,,,False,,,2,True
60,1083,2022-10-23,2023-08-23,5171.62,30 días,Pendiente,30,5,1,Cheque,David,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (304 días) vs esperada (30 días): 274 días de diferencia,False,,,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-08-23),2,True
