fecha,proveedor_id,categoria_gasto,monto,método_pago,tiempo_procesamiento,score_cumplimiento,indicadores_economicos,estacionalidad
2020-01-09,1087,Logística,1563.52,Transferencia,2,0.59,Creciente,Alta
2020-01-21,1062,Logística,1088.76,Transferencia,5,0.48,Creciente,Alta
2020-01-23,1010,Tecnología,1209.6,Cheque,5,0.42,Decreciente,Alta
2020-01-18,1080,Tecnología,1149.38,Transferencia,6,0.78,Decreciente,Alta
2020-01-08,1007,Servicios,1190.07,Efectivo,3,0.64,Decreciente,Alta
2020-01-22,1034,Logística,1303.81,Transferencia,8,0.81,Estable,Alta
2020-01-11,1034,Logística,1244.74,Cheque,1,0.9,Decreciente,Alta
2020-01-27,1032,Logística,1256.29,Cheque,6,0.62,Estable,Alta
2020-01-25,1004,Materiales,1492.11,Cheque,4,0.98,Creciente,Alta
2020-02-08,1085,Servicios,3985.86,Transferencia,2,0.5,Creciente,Alta
2020-02-27,1089,Logística,3451.69,Transferencia,1,0.07,Decreciente,Alta
2020-02-02,1043,Servicios,3363.69,Cheque,7,0.41,Decreciente,Alta
2020-02-26,1024,Materiales,3485.01,Transferencia,7,0.5,Estable,Alta
2020-02-11,1016,Servicios,3256.75,Efectivo,2,0.72,Creciente,Alta
2020-02-13,1012,Tecnología,3888.23,Efectivo,7,0.11,Decreciente,Alta
2020-02-09,1083,Tecnología,3541.68,Transferencia,8,0.14,Creciente,Alta
2020-02-03,1024,Logística,3158.87,Cheque,1,0.26,Decreciente,Alta
2020-02-07,1067,Materiales,4103.28,Efectivo,9,0.27,Decreciente,Alta
2020-02-19,1009,Tecnología,3373.52,Cheque,7,0.73,Creciente,Alta
2020-02-23,1066,Tecnología,3599.46,Cheque,3,0.25,Decreciente,Alta
2020-02-11,1017,Materiales,4113.04,Efectivo,8,0.63,Creciente,Alta
2020-02-07,1099,Servicios,3713.64,Cheque,7,0.49,Decreciente,Alta
2020-02-21,1085,Servicios,2995.69,Efectivo,8,0.57,Estable,Alta
2020-02-16,1033,Logística,4160.25,Cheque,6,0.84,Creciente,Alta
2020-02-13,1007,Servicios,3718.55,Efectivo,9,0.4,Decreciente,Alta
2020-02-21,1039,Materiales,3304.2,Transferencia,5,0.77,Decreciente,Alta
2020-02-15,1082,Tecnología,3027.35,Efectivo,3,0.42,Estable,Alta
2020-02-05,1041,Servicios,3953.91,Efectivo,3,0.35,Creciente,Alta
2020-02-09,1040,Logística,3707.74,Efectivo,1,0.96,Decreciente,Alta
2020-02-05,1005,Servicios,3585.18,Efectivo,8,0.18,Estable,Alta
2020-02-08,1051,Materiales,4095.24,Cheque,2,0.09,Decreciente,Alta
2020-02-24,1025,Logística,3946.23,Transferencia,3,0.77,Creciente,Alta
2020-02-18,1063,Servicios,3044.9,Efectivo,8,0.07,Decreciente,Alta
2020-02-18,1097,Logística,3271.39,Cheque,8,0.84,Decreciente,Alta
2020-02-09,1058,Materiales,3181.91,Transferencia,4,0.44,Decreciente,Alta
2020-02-24,1055,Tecnología,3883.04,Transferencia,4,0.92,Decreciente,Alta
2020-02-19,1058,Materiales,2877.71,Transferencia,5,0.72,Estable,Alta
2020-02-14,1069,Materiales,3636.73,Transferencia,6,0.61,Estable,Alta
2020-02-19,1032,Materiales,3909.24,Efectivo,5,0.95,Creciente,Alta
2020-02-13,1052,Materiales,4071.0,Efectivo,7,0.4,Estable,Alta
2020-02-12,1021,Tecnología,3314.35,Cheque,2,0.95,Estable,Alta
2020-02-08,1020,Tecnología,3992.45,Cheque,7,0.14,Creciente,Alta
2020-02-05,1069,Logística,2986.82,Cheque,7,0.48,Estable,Alta
2020-02-17,1069,Servicios,4028.1,Transferencia,1,0.27,Estable,Alta
2020-02-16,1003,Tecnología,3010.67,Transferencia,7,0.54,Creciente,Alta
2020-02-03,1093,Tecnología,3392.47,Efectivo,5,0.16,Creciente,Alta
2020-02-25,1074,Servicios,3958.54,Transferencia,3,0.84,Creciente,Alta
2020-02-02,1061,Tecnología,3042.41,Transferencia,3,0.85,Decreciente,Alta
2020-02-28,1061,Materiales,3154.68,Transferencia,4,0.96,Decreciente,Alta
2020-02-04,1093,Materiales,3852.34,Cheque,2,0.15,Creciente,Alta
2020-02-05,1094,Servicios,3849.21,Cheque,2,0.62,Creciente,Alta
2020-02-21,1023,Logística,3737.57,Efectivo,1,0.47,Creciente,Alta
2020-02-06,1054,Logística,3812.29,Transferencia,5,0.34,Decreciente,Alta
2020-02-26,1008,Servicios,3598.29,Transferencia,4,0.35,Decreciente,Alta
2020-02-22,1002,Servicios,3186.59,Efectivo,2,0.41,Estable,Alta
2020-02-14,1030,Materiales,3319.47,Transferencia,3,0.7,Estable,Alta
2020-02-20,1039,Logística,3087.25,Transferencia,7,0.6,Creciente,Alta
2020-02-03,1035,Tecnología,4115.84,Cheque,7,0.46,Decreciente,Alta
2020-02-13,1023,Materiales,3655.84,Efectivo,4,0.08,Decreciente,Alta
2020-02-13,1094,Servicios,3397.52,Efectivo,5,0.08,Decreciente,Alta
2020-02-20,1005,Logística,3484.06,Efectivo,5,0.0,Creciente,Alta
2020-02-15,1065,Tecnología,4170.79,Efectivo,6,0.97,Estable,Alta
2020-02-17,1083,Tecnología,3047.27,Cheque,9,0.01,Creciente,Alta
2020-02-09,1091,Materiales,3659.85,Cheque,2,0.1,Estable,Alta
2020-02-18,1074,Logística,3546.16,Transferencia,5,0.31,Estable,Alta
2020-02-28,1003,Logística,3695.55,Transferencia,3,0.81,Creciente,Alta
2020-02-01,1078,Servicios,2855.89,Transferencia,4,0.96,Estable,Alta
2020-02-22,1005,Logística,4064.43,Transferencia,6,0.79,Estable,Alta
2020-02-24,1093,Logística,4149.33,Cheque,8,0.69,Decreciente,Alta
2020-02-04,1050,Materiales,3630.0,Efectivo,1,0.52,Estable,Alta
2020-02-22,1061,Logística,3816.11,Cheque,8,0.09,Creciente,Alta
2020-02-18,1056,Tecnología,4135.72,Transferencia,7,0.96,Creciente,Alta
2020-02-25,1065,Materiales,3831.1,Cheque,1,0.76,Estable,Alta
2020-02-09,1078,Materiales,3046.12,Efectivo,2,0.64,Decreciente,Alta
2020-02-25,1074,Servicios,3645.78,Efectivo,3,0.76,Decreciente,Alta
2020-02-21,1007,Logística,3688.84,Cheque,1,0.72,Estable,Alta
2020-02-11,1025,Servicios,3430.46,Cheque,9,0.64,Estable,Alta
2020-02-04,1050,Tecnología,3872.43,Cheque,8,0.98,Creciente,Alta
2020-02-10,1044,Materiales,4152.51,Transferencia,2,0.9,Estable,Alta
2020-02-14,1043,Materiales,4140.06,Cheque,9,0.65,Decreciente,Alta
2020-02-06,1004,Materiales,3468.26,Cheque,7,0.69,Estable,Alta
2020-02-15,1069,Tecnología,2990.51,Cheque,9,0.05,Creciente,Alta
2020-02-01,1025,Tecnología,4223.94,Efectivo,6,0.67,Creciente,Alta
2020-02-24,1067,Servicios,4017.41,Efectivo,6,0.04,Creciente,Alta
2020-02-24,1018,Servicios,3006.67,Transferencia,4,0.59,Creciente,Alta
2020-02-09,1083,Servicios,4133.37,Transferencia,2,1.0,Creciente,Alta
2020-02-17,1096,Logística,4061.28,Efectivo,7,0.56,Estable,Alta
2020-02-25,1019,Materiales,3564.48,Efectivo,5,0.47,Estable,Alta
2020-02-06,1011,Materiales,3666.99,Efectivo,6,0.31,Estable,Alta
2020-02-17,1046,Servicios,3394.9,Cheque,2,0.12,Estable,Alta
2020-02-04,1000,Materiales,2907.76,Cheque,5,0.73,Creciente,Alta
2020-02-28,1089,Servicios,3304.61,Efectivo,4,0.19,Decreciente,Alta
2020-03-10,1087,Materiales,2507.67,Cheque,9,0.65,Estable,Baja
2020-03-27,1067,Tecnología,3404.73,Cheque,5,0.38,Estable,Baja
2020-03-21,1011,Materiales,3014.44,Efectivo,4,0.2,Creciente,Baja
2020-03-17,1058,Materiales,3370.99,Cheque,1,0.48,Estable,Baja
2020-03-20,1036,Materiales,2741.69,Transferencia,7,0.19,Creciente,Baja
2020-03-07,1060,Servicios,3387.72,Transferencia,3,0.17,Creciente,Baja
2020-03-05,1042,Logística,3307.65,Efectivo,6,0.62,Creciente,Baja
2020-03-12,1069,Tecnología,2660.19,Efectivo,5,0.52,Decreciente,Baja
2020-03-25,1038,Tecnología,2542.43,Cheque,5,0.67,Estable,Baja
2020-03-06,1055,Servicios,3421.25,Efectivo,5,0.93,Estable,Baja
2020-03-18,1062,Logística,3534.79,Efectivo,1,0.53,Creciente,Baja
2020-03-25,1045,Tecnología,2423.1,Transferencia,1,0.58,Creciente,Baja
2020-03-17,1087,Materiales,3258.08,Transferencia,3,0.09,Estable,Baja
2020-03-01,1010,Tecnología,3470.72,Cheque,4,0.72,Creciente,Baja
2020-03-20,1061,Materiales,3408.49,Efectivo,5,0.4,Estable,Baja
2020-03-11,1076,Servicios,3536.32,Efectivo,2,0.98,Decreciente,Baja
2020-03-16,1097,Materiales,3292.46,Transferencia,8,0.82,Creciente,Baja
2020-03-01,1024,Tecnología,2913.37,Efectivo,2,0.52,Estable,Baja
2020-03-04,1070,Tecnología,2757.88,Transferencia,9,0.12,Creciente,Baja
2020-03-12,1051,Tecnología,2768.37,Cheque,2,0.86,Estable,Baja
2020-03-27,1003,Servicios,3249.91,Transferencia,9,0.8,Estable,Baja
2020-03-26,1058,Servicios,3275.46,Efectivo,7,0.18,Creciente,Baja
2020-03-10,1071,Logística,2624.77,Cheque,8,0.3,Decreciente,Baja
2020-03-08,1019,Tecnología,3421.33,Transferencia,2,0.79,Estable,Baja
2020-03-02,1092,Materiales,3238.58,Transferencia,7,0.19,Estable,Baja
2020-03-08,1062,Servicios,3057.06,Cheque,6,0.92,Estable,Baja
2020-03-19,1053,Tecnología,2948.24,Cheque,4,0.42,Decreciente,Baja
2020-03-03,1073,Tecnología,3033.77,Transferencia,7,0.09,Decreciente,Baja
2020-03-03,1097,Servicios,2575.72,Efectivo,4,0.82,Creciente,Baja
2020-03-24,1056,Logística,2628.75,Transferencia,2,0.37,Decreciente,Baja
2020-03-16,1089,Servicios,2494.51,Cheque,7,0.53,Creciente,Baja
2020-03-27,1040,Servicios,2569.06,Transferencia,8,0.11,Creciente,Baja
2020-03-03,1002,Materiales,2926.96,Cheque,2,0.0,Decreciente,Baja
2020-03-25,1005,Materiales,3018.41,Cheque,5,0.64,Creciente,Baja
2020-03-18,1004,Logística,2407.07,Efectivo,1,0.52,Decreciente,Baja
2020-03-25,1004,Tecnología,3336.25,Cheque,7,0.59,Creciente,Baja
2020-03-05,1053,Servicios,2736.67,Cheque,8,0.79,Decreciente,Baja
2020-03-05,1046,Logística,3473.47,Efectivo,6,0.65,Decreciente,Baja
2020-03-22,1086,Materiales,3539.89,Cheque,5,0.17,Creciente,Baja
2020-03-16,1048,Servicios,2606.99,Efectivo,6,0.36,Estable,Baja
2020-03-18,1008,Tecnología,2936.99,Efectivo,2,0.91,Creciente,Baja
2020-03-06,1098,Materiales,2387.23,Cheque,1,0.77,Decreciente,Baja
2020-03-09,1019,Materiales,3099.49,Cheque,7,0.56,Estable,Baja
2020-03-17,1060,Materiales,3110.21,Transferencia,7,0.26,Creciente,Baja
2020-03-28,1034,Logística,2681.05,Efectivo,2,0.3,Creciente,Baja
2020-03-20,1049,Tecnología,3051.88,Transferencia,2,0.73,Creciente,Baja
2020-03-14,1081,Servicios,2654.8,Cheque,1,0.85,Estable,Baja
2020-03-07,1061,Logística,2577.61,Transferencia,8,0.67,Decreciente,Baja
2020-03-18,1016,Logística,3162.95,Efectivo,8,0.81,Creciente,Baja
2020-03-25,1087,Logística,2774.55,Transferencia,1,0.77,Creciente,Baja
2020-03-24,1002,Materiales,3089.88,Efectivo,8,0.15,Creciente,Baja
2020-03-23,1031,Tecnología,2902.57,Cheque,9,0.42,Creciente,Baja
2020-03-07,1098,Logística,3559.98,Cheque,4,0.15,Creciente,Baja
2020-03-23,1012,Servicios,2564.19,Efectivo,1,0.24,Decreciente,Baja
2020-03-10,1088,Tecnología,2939.97,Cheque,1,0.87,Decreciente,Baja
2020-03-13,1072,Servicios,3197.47,Cheque,3,0.47,Creciente,Baja
2020-03-22,1067,Tecnología,2857.6,Cheque,5,0.54,Estable,Baja
2020-03-21,1013,Servicios,3548.46,Cheque,5,0.18,Decreciente,Baja
2020-03-12,1097,Materiales,3246.89,Efectivo,9,0.31,Estable,Baja
2020-03-15,1010,Logística,3169.46,Transferencia,2,0.23,Decreciente,Baja
2020-03-17,1055,Servicios,3288.84,Transferencia,2,0.21,Creciente,Baja
2020-03-15,1066,Tecnología,3522.16,Cheque,6,0.64,Decreciente,Baja
2020-03-04,1091,Logística,3468.68,Transferencia,9,0.26,Creciente,Baja
2020-03-08,1028,Logística,3249.75,Transferencia,1,0.63,Decreciente,Baja
2020-03-08,1008,Tecnología,3279.42,Cheque,9,0.06,Creciente,Baja
2020-03-03,1066,Servicios,2559.83,Cheque,9,0.14,Creciente,Baja
2020-03-11,1024,Materiales,2508.38,Transferencia,9,0.27,Creciente,Baja
2020-03-01,1097,Materiales,3066.78,Efectivo,5,0.6,Creciente,Baja
2020-03-19,1075,Servicios,2407.67,Cheque,9,0.68,Estable,Baja
2020-03-18,1041,Logística,2961.16,Efectivo,4,0.44,Creciente,Baja
2020-03-08,1008,Logística,2636.68,Transferencia,2,0.45,Estable,Baja
2020-03-19,1078,Logística,2798.52,Cheque,6,0.72,Estable,Baja
2020-03-08,1039,Logística,3311.2,Efectivo,4,0.02,Creciente,Baja
2020-03-01,1024,Servicios,3508.55,Cheque,6,0.34,Estable,Baja
2020-03-03,1004,Logística,2472.15,Transferencia,3,0.82,Decreciente,Baja
2020-03-23,1010,Tecnología,3023.05,Efectivo,6,0.6,Creciente,Baja
2020-03-21,1058,Logística,3438.52,Transferencia,2,0.34,Estable,Baja
2020-03-02,1097,Materiales,2484.18,Transferencia,2,0.91,Creciente,Baja
2020-03-08,1087,Logística,3369.31,Cheque,9,0.77,Creciente,Baja
2020-03-03,1078,Servicios,2812.58,Efectivo,7,0.26,Creciente,Baja
2020-03-02,1037,Materiales,2769.98,Transferencia,3,0.65,Estable,Baja
2020-03-28,1071,Servicios,3551.76,Transferencia,1,0.6,Decreciente,Baja
2020-03-11,1004,Servicios,2625.36,Efectivo,8,0.4,Decreciente,Baja
2020-03-03,1047,Materiales,3212.66,Transferencia,6,0.37,Estable,Baja
2020-03-17,1089,Servicios,3365.64,Transferencia,7,0.34,Creciente,Baja
2020-03-08,1017,Servicios,2434.89,Efectivo,9,0.62,Estable,Baja
2020-03-09,1069,Logística,3185.45,Efectivo,5,0.44,Estable,Baja
2020-03-22,1036,Tecnología,3520.85,Efectivo,1,0.83,Estable,Baja
2020-03-16,1059,Servicios,2533.94,Efectivo,7,0.67,Creciente,Baja
2020-03-07,1047,Servicios,3454.85,Cheque,5,0.07,Estable,Baja
2020-03-18,1076,Servicios,3095.26,Efectivo,3,0.64,Creciente,Baja
2020-03-05,1027,Logística,3121.3,Cheque,9,0.27,Estable,Baja
2020-03-24,1068,Tecnología,3116.93,Cheque,1,0.59,Decreciente,Baja
2020-03-19,1076,Materiales,2742.24,Cheque,1,0.68,Estable,Baja
2020-03-19,1080,Logística,3501.35,Transferencia,1,0.23,Estable,Baja
2020-03-16,1039,Logística,3515.84,Cheque,3,0.46,Decreciente,Baja
2020-03-08,1044,Tecnología,3131.68,Cheque,6,0.19,Creciente,Baja
2020-03-26,1095,Tecnología,3320.29,Transferencia,3,0.05,Creciente,Baja
2020-03-16,1061,Logística,3116.11,Transferencia,8,0.38,Estable,Baja
2020-03-26,1092,Materiales,2963.59,Transferencia,2,0.36,Decreciente,Baja
2020-03-14,1057,Logística,3174.04,Efectivo,9,1.0,Creciente,Baja
2020-03-07,1066,Tecnología,3045.43,Transferencia,3,0.45,Estable,Baja
2020-03-04,1055,Materiales,3098.48,Transferencia,5,0.33,Decreciente,Baja
2020-03-04,1039,Tecnología,3320.78,Cheque,8,0.58,Creciente,Baja
2020-03-22,1097,Materiales,2959.42,Transferencia,2,0.09,Creciente,Baja
2020-03-14,1039,Servicios,2434.38,Efectivo,6,0.96,Decreciente,Baja
2020-03-12,1090,Tecnología,2581.39,Transferencia,5,0.63,Decreciente,Baja
2020-03-14,1076,Tecnología,2908.97,Efectivo,9,0.75,Decreciente,Baja
2020-03-14,1032,Logística,3250.39,Transferencia,5,0.17,Decreciente,Baja
2020-03-15,1005,Tecnología,3093.47,Transferencia,2,0.41,Estable,Baja
2020-03-28,1087,Tecnología,3161.48,Transferencia,5,0.42,Decreciente,Baja
2020-03-24,1018,Servicios,2957.48,Transferencia,4,0.82,Creciente,Baja
2020-03-02,1079,Tecnología,3120.27,Efectivo,7,0.0,Creciente,Baja
2020-03-22,1039,Servicios,2778.24,Efectivo,6,0.3,Estable,Baja
2020-03-21,1091,Servicios,2946.63,Cheque,2,0.98,Creciente,Baja
2020-03-21,1096,Servicios,3273.6,Efectivo,5,0.47,Creciente,Baja
2020-03-04,1058,Servicios,3425.75,Transferencia,7,0.38,Decreciente,Baja
2020-03-02,1058,Materiales,2903.06,Cheque,7,0.12,Creciente,Baja
2020-03-13,1047,Logística,2437.84,Cheque,5,0.97,Estable,Baja
2020-03-24,1040,Materiales,2578.62,Cheque,9,0.02,Decreciente,Baja
2020-04-26,1082,Logística,2134.7,Efectivo,6,0.4,Decreciente,Baja
2020-04-28,1008,Tecnología,1721.06,Cheque,9,0.09,Creciente,Baja
2020-04-04,1098,Logística,1951.88,Transferencia,4,0.44,Decreciente,Baja
2020-04-08,1020,Materiales,2094.91,Cheque,8,0.2,Estable,Baja
2020-04-07,1072,Tecnología,1962.28,Cheque,4,0.19,Creciente,Baja
2020-04-07,1027,Materiales,1777.47,Cheque,2,0.09,Decreciente,Baja
2020-04-18,1061,Logística,1867.92,Transferencia,9,0.36,Decreciente,Baja
2020-04-15,1006,Logística,2405.62,Efectivo,5,0.76,Decreciente,Baja
2020-04-05,1079,Materiales,2198.33,Efectivo,4,0.28,Decreciente,Baja
2020-04-14,1015,Tecnología,2050.51,Transferencia,2,0.31,Decreciente,Baja
2020-04-06,1096,Materiales,1653.45,Cheque,1,0.64,Creciente,Baja
2020-04-09,1003,Logística,2458.28,Efectivo,7,0.2,Creciente,Baja
2020-04-15,1003,Materiales,2194.61,Transferencia,6,0.9,Creciente,Baja
2020-04-08,1039,Logística,1903.36,Efectivo,2,0.52,Creciente,Baja
2020-04-28,1016,Materiales,2365.33,Transferencia,8,0.45,Estable,Baja
2020-04-03,1051,Tecnología,1855.31,Cheque,4,0.56,Creciente,Baja
2020-04-15,1092,Tecnología,2089.92,Efectivo,8,0.17,Decreciente,Baja
