ID_proveedor,nombre,tipo_empresa,país,categoría_riesgo,condiciones_negociadas,descuentos_especiales,límites_crédito,histórico_performance,contactos_emergencia,certificaciones
11,Proveedor_11,Grande,México,Bajo,Net 60,5,32712,"{'on_time_delivery': '80%', 'quality_issues': 1, 'customer_complaints': 6}",contacto_11@empresa.com,"['OHSAS 18001', 'None']"
12,Proveedor_12,Grande,México,Bajo,Net 60,0,39961,"{'on_time_delivery': '90%', 'quality_issues': 2, 'customer_complaints': 2}",contacto_12@empresa.com,['OHSAS 18001']
13,Proveedor_13,Pequeña,Argentina,Alto,Net 60,5,13415,"{'on_time_delivery': '86%', 'quality_issues': 5, 'customer_complaints': 1}",contacto_13@empresa.com,"['None', 'ISO 45001']"
14,Proveedor_14,Grande,USA,Alto,Net 30,10,28833,"{'on_time_delivery': '82%', 'quality_issues': 4, 'customer_complaints': 1}",contacto_14@empresa.com,"['None', 'OHSAS 18001', 'ISO 9001']"
15,Proveedor_15,Mediana,Argentina,Bajo,Net 60,5,9158,"{'on_time_delivery': '91%', 'quality_issues': 2, 'customer_complaints': 9}",contacto_15@empresa.com,['OHSAS 18001']
16,Proveedor_16,Pequeña,Brasil,Bajo,Net 60,5,25309,"{'on_time_delivery': '88%', 'quality_issues': 0, 'customer_complaints': 7}",contacto_16@empresa.com,['None']
17,Proveedor_17,Mediana,Brasil,Medio,Net 30,0,11970,"{'on_time_delivery': '97%', 'quality_issues': 0, 'customer_complaints': 6}",contacto_17@empresa.com,"['ISO 9001', 'None']"
18,Proveedor_18,Mediana,Brasil,Bajo,Net 90,0,11938,"{'on_time_delivery': '82%', 'quality_issues': 4, 'customer_complaints': 4}",contacto_18@empresa.com,"['ISO 45001', 'OHSAS 18001', 'None']"
19,Proveedor_19,Mediana,Brasil,Medio,Net 30,0,26168,"{'on_time_delivery': '100%', 'quality_issues': 4, 'customer_complaints': 5}",contacto_19@empresa.com,"['ISO 45001', 'ISO 9001']"
20,Proveedor_20,Mediana,Brasil,Bajo,Net 60,5,25384,"{'on_time_delivery': '98%', 'quality_issues': 1, 'customer_complaints': 1}",contacto_20@empresa.com,"['None', 'ISO 14001']"
21,Proveedor_21,Pequeña,Canadá,Medio,Net 60,10,23017,"{'on_time_delivery': '81%', 'quality_issues': 5, 'customer_complaints': 3}",contacto_21@empresa.com,"['ISO 9001', 'ISO 45001']"
22,Proveedor_22,Pequeña,México,Alto,Net 30,15,15344,"{'on_time_delivery': '89%', 'quality_issues': 2, 'customer_complaints': 3}",contacto_22@empresa.com,['None']
23,Proveedor_23,Mediana,Brasil,Bajo,Net 90,15,45034,"{'on_time_delivery': '83%', 'quality_issues': 3, 'customer_complaints': 4}",contacto_23@empresa.com,"['ISO 14001', 'OHSAS 18001', 'None']"
24,Proveedor_24,Mediana,USA,Bajo,Net 60,0,13702,"{'on_time_delivery': '94%', 'quality_issues': 5, 'customer_complaints': 5}",contacto_24@empresa.com,['OHSAS 18001']
25,Proveedor_25,Pequeña,USA,Bajo,Net 60,0,5384,"{'on_time_delivery': '85%', 'quality_issues': 2, 'customer_complaints': 5}",contacto_25@empresa.com,"['OHSAS 18001', 'ISO 9001', 'None']"
26,Proveedor_26,Pequeña,USA,Bajo,Net 60,5,5404,"{'on_time_delivery': '86%', 'quality_issues': 5, 'customer_complaints': 4}",contacto_26@empresa.com,"['None', 'OHSAS 18001']"
27,Proveedor_27,Pequeña,USA,Medio,Net 30,15,45943,"{'on_time_delivery': '100%', 'quality_issues': 0, 'customer_complaints': 9}",contacto_27@empresa.com,"['ISO 45001', 'OHSAS 18001', 'ISO 14001']"
28,Proveedor_28,Grande,Canadá,Bajo,Net 60,0,34189,"{'on_time_delivery': '100%', 'quality_issues': 1, 'customer_complaints': 8}",contacto_28@empresa.com,"['OHSAS 18001', 'ISO 14001', 'ISO 9001']"
29,Proveedor_29,Grande,USA,Alto,Net 90,10,17763,"{'on_time_delivery': '87%', 'quality_issues': 3, 'customer_complaints': 7}",contacto_29@empresa.com,"['ISO 45001', 'ISO 14001']"
30,Proveedor_30,Grande,Brasil,Alto,Net 60,10,23384,"{'on_time_delivery': '92%', 'quality_issues': 4, 'customer_complaints': 10}",contacto_30@empresa.com,"['None', 'OHSAS 18001', 'ISO 14001']"
31,Proveedor_31,Mediana,Argentina,Bajo,Net 60,0,37606,"{'on_time_delivery': '97%', 'quality_issues': 1, 'customer_complaints': 10}",contacto_31@empresa.com,"['ISO 9001', 'OHSAS 18001', 'ISO 14001']"
32,Proveedor_32,Grande,USA,Alto,Net 90,0,14860,"{'on_time_delivery': '90%', 'quality_issues': 5, 'customer_complaints': 3}",contacto_32@empresa.com,['ISO 45001']
33,Proveedor_33,Mediana,Canadá,Bajo,Net 60,15,43757,"{'on_time_delivery': '81%', 'quality_issues': 2, 'customer_complaints': 6}",contacto_33@empresa.com,"['None', 'OHSAS 18001', 'ISO 14001']"
34,Proveedor_34,Mediana,Canadá,Bajo,Net 30,15,20106,"{'on_time_delivery': '88%', 'quality_issues': 0, 'customer_complaints': 3}",contacto_34@empresa.com,"['ISO 45001', 'ISO 14001']"
35,Proveedor_35,Grande,USA,Alto,Net 30,5,28574,"{'on_time_delivery': '98%', 'quality_issues': 6, 'customer_complaints': 5}",contacto_35@empresa.com,"['ISO 45001', 'ISO 14001', 'OHSAS 18001']"
36,Proveedor_36,Mediana,Argentina,Bajo,Net 30,15,28524,"{'on_time_delivery': '86%', 'quality_issues': 5, 'customer_complaints': 7}",contacto_36@empresa.com,['OHSAS 18001']
37,Proveedor_37,Grande,USA,Alto,Net 90,10,8636,"{'on_time_delivery': '92%', 'quality_issues': 7, 'customer_complaints': 7}",contacto_37@empresa.com,"['None', 'OHSAS 18001', 'ISO 9001']"
38,Proveedor_38,Grande,Canadá,Medio,Net 60,10,15916,"{'on_time_delivery': '84%', 'quality_issues': 2, 'customer_complaints': 2}",contacto_38@empresa.com,['OHSAS 18001']
39,Proveedor_39,Pequeña,México,Bajo,Net 30,0,9809,"{'on_time_delivery': '87%', 'quality_issues': 5, 'customer_complaints': 8}",contacto_39@empresa.com,['ISO 14001']
40,Proveedor_40,Grande,Brasil,Medio,Net 90,15,37201,"{'on_time_delivery': '97%', 'quality_issues': 2, 'customer_complaints': 9}",contacto_40@empresa.com,['ISO 9001']
41,Proveedor_41,Pequeña,Canadá,Alto,Net 60,5,18456,"{'on_time_delivery': '93%', 'quality_issues': 5, 'customer_complaints': 6}",contacto_41@empresa.com,['ISO 14001']
42,Proveedor_42,Grande,USA,Medio,Net 90,10,43765,"{'on_time_delivery': '91%', 'quality_issues': 1, 'customer_complaints': 2}",contacto_42@empresa.com,"['None', 'ISO 9001']"
43,Proveedor_43,Grande,Brasil,Medio,Net 30,10,39816,"{'on_time_delivery': '96%', 'quality_issues': 3, 'customer_complaints': 1}",contacto_43@empresa.com,"['ISO 45001', 'ISO 14001']"
44,Proveedor_44,Pequeña,USA,Alto,Net 30,5,22100,"{'on_time_delivery': '81%', 'quality_issues': 4, 'customer_complaints': 2}",contacto_44@empresa.com,"['ISO 45001', 'None', 'ISO 14001']"
45,Proveedor_45,Pequeña,USA,Medio,Net 30,5,26949,"{'on_time_delivery': '100%', 'quality_issues': 1, 'customer_complaints': 10}",contacto_45@empresa.com,['ISO 14001']
46,Proveedor_46,Grande,México,Medio,Net 90,10,9544,"{'on_time_delivery': '93%', 'quality_issues': 4, 'customer_complaints': 1}",contacto_46@empresa.com,"['ISO 9001', 'None', 'ISO 14001']"
47,Proveedor_47,Mediana,Brasil,Alto,Net 90,10,42744,"{'on_time_delivery': '92%', 'quality_issues': 7, 'customer_complaints': 9}",contacto_47@empresa.com,['ISO 14001']
48,Proveedor_48,Pequeña,Brasil,Medio,Net 30,5,47783,"{'on_time_delivery': '94%', 'quality_issues': 4, 'customer_complaints': 4}",contacto_48@empresa.com,"['None', 'ISO 45001', 'ISO 9001']"
49,Proveedor_49,Mediana,México,Alto,Net 90,10,31657,"{'on_time_delivery': '97%', 'quality_issues': 5, 'customer_complaints': 10}",contacto_49@empresa.com,"['ISO 14001', 'ISO 9001', 'None']"
50,Proveedor_50,Mediana,Canadá,Medio,Net 30,0,41187,"{'on_time_delivery': '83%', 'quality_issues': 5, 'customer_complaints': 8}",contacto_50@empresa.com,['ISO 45001']
51,Proveedor_51,Mediana,USA,Alto,Net 30,0,12239,"{'on_time_delivery': '88%', 'quality_issues': 9, 'customer_complaints': 5}",contacto_51@empresa.com,"['None', 'OHSAS 18001', 'ISO 14001']"
52,Proveedor_52,Pequeña,Argentina,Alto,Net 60,5,19489,"{'on_time_delivery': '83%', 'quality_issues': 5, 'customer_complaints': 6}",contacto_52@empresa.com,"['None', 'ISO 45001', 'OHSAS 18001']"
53,Proveedor_53,Mediana,USA,Medio,Net 90,15,48125,"{'on_time_delivery': '85%', 'quality_issues': 3, 'customer_complaints': 0}",contacto_53@empresa.com,"['ISO 14001', 'ISO 45001']"
54,Proveedor_54,Pequeña,USA,Medio,Net 30,5,33538,"{'on_time_delivery': '88%', 'quality_issues': 4, 'customer_complaints': 2}",contacto_54@empresa.com,"['OHSAS 18001', 'ISO 14001']"
55,Proveedor_55,Mediana,Canadá,Medio,Net 30,5,37049,"{'on_time_delivery': '96%', 'quality_issues': 0, 'customer_complaints': 10}",contacto_55@empresa.com,"['OHSAS 18001', 'ISO 45001', 'None']"
56,Proveedor_56,Grande,USA,Bajo,Net 90,15,42131,"{'on_time_delivery': '89%', 'quality_issues': 5, 'customer_complaints': 8}",contacto_56@empresa.com,['OHSAS 18001']
57,Proveedor_57,Grande,México,Bajo,Net 60,15,47944,"{'on_time_delivery': '99%', 'quality_issues': 1, 'customer_complaints': 2}",contacto_57@empresa.com,"['ISO 9001', 'OHSAS 18001']"
58,Proveedor_58,Pequeña,México,Bajo,Net 60,15,13427,"{'on_time_delivery': '91%', 'quality_issues': 1, 'customer_complaints': 8}",contacto_58@empresa.com,['OHSAS 18001']
59,Proveedor_59,Grande,Brasil,Alto,Net 30,0,46348,"{'on_time_delivery': '96%', 'quality_issues': 1, 'customer_complaints': 9}",contacto_59@empresa.com,"['OHSAS 18001', 'ISO 9001']"
60,Proveedor_60,Grande,Argentina,Medio,Net 90,10,29285,"{'on_time_delivery': '90%', 'quality_issues': 3, 'customer_complaints': 0}",contacto_60@empresa.com,['ISO 14001']
61,Proveedor_61,Mediana,USA,Alto,Net 60,0,42626,"{'on_time_delivery': '83%', 'quality_issues': 4, 'customer_complaints': 4}",contacto_61@empresa.com,['ISO 45001']
62,Proveedor_62,Pequeña,USA,Bajo,Net 90,10,47808,"{'on_time_delivery': '87%', 'quality_issues': 0, 'customer_complaints': 3}",contacto_62@empresa.com,"['ISO 14001', 'None', 'ISO 9001']"
63,Proveedor_63,Mediana,Canadá,Medio,Net 90,0,27928,"{'on_time_delivery': '98%', 'quality_issues': 0, 'customer_complaints': 1}",contacto_63@empresa.com,"['ISO 45001', 'OHSAS 18001']"
64,Proveedor_64,Mediana,México,Alto,Net 30,10,24198,"{'on_time_delivery': '95%', 'quality_issues': 3, 'customer_complaints': 8}",contacto_64@empresa.com,"['ISO 45001', 'None', 'ISO 9001']"
65,Proveedor_65,Mediana,Argentina,Medio,Net 60,0,24758,"{'on_time_delivery': '84%', 'quality_issues': 1, 'customer_complaints': 10}",contacto_65@empresa.com,['ISO 45001']
66,Proveedor_66,Mediana,Brasil,Alto,Net 30,15,20254,"{'on_time_delivery': '95%', 'quality_issues': 7, 'customer_complaints': 2}",contacto_66@empresa.com,"['None', 'ISO 9001']"
67,Proveedor_67,Mediana,México,Medio,Net 60,5,49238,"{'on_time_delivery': '88%', 'quality_issues': 4, 'customer_complaints': 9}",contacto_67@empresa.com,"['ISO 45001', 'None', 'ISO 9001']"
68,Proveedor_68,Mediana,Brasil,Bajo,Net 60,0,6252,"{'on_time_delivery': '93%', 'quality_issues': 1, 'customer_complaints': 8}",contacto_68@empresa.com,"['OHSAS 18001', 'ISO 45001']"
69,Proveedor_69,Mediana,Canadá,Bajo,Net 60,10,44764,"{'on_time_delivery': '86%', 'quality_issues': 5, 'customer_complaints': 4}",contacto_69@empresa.com,"['None', 'ISO 14001']"
70,Proveedor_70,Pequeña,Canadá,Medio,Net 60,15,17173,"{'on_time_delivery': '92%', 'quality_issues': 5, 'customer_complaints': 10}",contacto_70@empresa.com,"['ISO 14001', 'OHSAS 18001']"
71,Proveedor_71,Grande,USA,Alto,Net 60,0,42441,"{'on_time_delivery': '91%', 'quality_issues': 7, 'customer_complaints': 8}",contacto_71@empresa.com,"['ISO 45001', 'ISO 9001']"
72,Proveedor_72,Mediana,Argentina,Bajo,Net 90,0,31698,"{'on_time_delivery': '94%', 'quality_issues': 0, 'customer_complaints': 3}",contacto_72@empresa.com,"['OHSAS 18001', 'ISO 45001']"
73,Proveedor_73,Mediana,Brasil,Bajo,Net 30,15,20781,"{'on_time_delivery': '87%', 'quality_issues': 0, 'customer_complaints': 5}",contacto_73@empresa.com,"['ISO 14001', 'ISO 45001', 'ISO 9001']"
74,Proveedor_74,Mediana,México,Bajo,Net 90,0,18051,"{'on_time_delivery': '80%', 'quality_issues': 4, 'customer_complaints': 8}",contacto_74@empresa.com,"['None', 'ISO 9001', 'ISO 14001']"
75,Proveedor_75,Mediana,Canadá,Medio,Net 60,5,44649,"{'on_time_delivery': '87%', 'quality_issues': 4, 'customer_complaints': 3}",contacto_75@empresa.com,"['None', 'ISO 9001', 'ISO 45001']"
76,Proveedor_76,Mediana,USA,Medio,Net 30,0,11949,"{'on_time_delivery': '80%', 'quality_issues': 0, 'customer_complaints': 10}",contacto_76@empresa.com,"['ISO 45001', 'ISO 14001', 'None']"
77,Proveedor_77,Mediana,USA,Alto,Net 60,5,47289,"{'on_time_delivery': '81%', 'quality_issues': 2, 'customer_complaints': 1}",contacto_77@empresa.com,['ISO 9001']
78,Proveedor_78,Grande,Brasil,Alto,Net 30,5,13017,"{'on_time_delivery': '81%', 'quality_issues': 4, 'customer_complaints': 1}",contacto_78@empresa.com,"['ISO 45001', 'OHSAS 18001']"
79,Proveedor_79,Grande,Canadá,Alto,Net 90,15,11941,"{'on_time_delivery': '96%', 'quality_issues': 4, 'customer_complaints': 4}",contacto_79@empresa.com,['ISO 45001']
80,Proveedor_80,Mediana,Argentina,Medio,Net 30,0,30934,"{'on_time_delivery': '95%', 'quality_issues': 1, 'customer_complaints': 8}",contacto_80@empresa.com,"['OHSAS 18001', 'ISO 45001']"
81,Proveedor_81,Grande,Canadá,Medio,Net 30,15,28386,"{'on_time_delivery': '84%', 'quality_issues': 5, 'customer_complaints': 9}",contacto_81@empresa.com,"['ISO 45001', 'OHSAS 18001']"
82,Proveedor_82,Pequeña,Brasil,Alto,Net 30,0,15209,"{'on_time_delivery': '98%', 'quality_issues': 8, 'customer_complaints': 3}",contacto_82@empresa.com,['ISO 45001']
83,Proveedor_83,Mediana,Brasil,Alto,Net 30,0,22715,"{'on_time_delivery': '95%', 'quality_issues': 5, 'customer_complaints': 3}",contacto_83@empresa.com,['None']
84,Proveedor_84,Pequeña,Canadá,Medio,Net 30,10,33920,"{'on_time_delivery': '83%', 'quality_issues': 0, 'customer_complaints': 10}",contacto_84@empresa.com,['OHSAS 18001']
85,Proveedor_85,Pequeña,Brasil,Alto,Net 60,0,36703,"{'on_time_delivery': '93%', 'quality_issues': 6, 'customer_complaints': 6}",contacto_85@empresa.com,['ISO 9001']
86,Proveedor_86,Mediana,Canadá,Bajo,Net 30,15,47318,"{'on_time_delivery': '93%', 'quality_issues': 3, 'customer_complaints': 0}",contacto_86@empresa.com,"['ISO 9001', 'None', 'ISO 45001']"
87,Proveedor_87,Grande,México,Medio,Net 30,5,9637,"{'on_time_delivery': '100%', 'quality_issues': 5, 'customer_complaints': 1}",contacto_87@empresa.com,['ISO 9001']
88,Proveedor_88,Pequeña,Canadá,Alto,Net 90,0,9854,"{'on_time_delivery': '81%', 'quality_issues': 4, 'customer_complaints': 5}",contacto_88@empresa.com,"['ISO 14001', 'None', 'ISO 9001']"
89,Proveedor_89,Mediana,Canadá,Medio,Net 30,10,48088,"{'on_time_delivery': '83%', 'quality_issues': 1, 'customer_complaints': 3}",contacto_89@empresa.com,"['ISO 9001', 'ISO 14001']"
90,Proveedor_90,Pequeña,Brasil,Bajo,Net 90,15,42660,"{'on_time_delivery': '86%', 'quality_issues': 4, 'customer_complaints': 7}",contacto_90@empresa.com,"['OHSAS 18001', 'None']"
91,Proveedor_91,Pequeña,Brasil,Medio,Net 60,0,44811,"{'on_time_delivery': '84%', 'quality_issues': 3, 'customer_complaints': 2}",contacto_91@empresa.com,['None']
92,Proveedor_92,Pequeña,USA,Medio,Net 30,15,24856,"{'on_time_delivery': '88%', 'quality_issues': 3, 'customer_complaints': 3}",contacto_92@empresa.com,"['ISO 9001', 'ISO 14001', 'ISO 45001']"
93,Proveedor_93,Pequeña,USA,Medio,Net 90,10,26833,"{'on_time_delivery': '82%', 'quality_issues': 3, 'customer_complaints': 8}",contacto_93@empresa.com,['None']
94,Proveedor_94,Grande,México,Medio,Net 90,10,24963,"{'on_time_delivery': '83%', 'quality_issues': 0, 'customer_complaints': 10}",contacto_94@empresa.com,['OHSAS 18001']
95,Proveedor_95,Pequeña,USA,Bajo,Net 60,15,41932,"{'on_time_delivery': '97%', 'quality_issues': 0, 'customer_complaints': 1}",contacto_95@empresa.com,"['ISO 45001', 'None', 'OHSAS 18001']"
96,Proveedor_96,Pequeña,Canadá,Medio,Net 30,0,32169,"{'on_time_delivery': '87%', 'quality_issues': 1, 'customer_complaints': 6}",contacto_96@empresa.com,['ISO 9001']
97,Proveedor_97,Pequeña,Brasil,Medio,Net 30,5,12941,"{'on_time_delivery': '95%', 'quality_issues': 3, 'customer_complaints': 3}",contacto_97@empresa.com,"['ISO 14001', 'ISO 9001', 'OHSAS 18001']"
98,Proveedor_98,Grande,USA,Alto,Net 90,10,19388,"{'on_time_delivery': '92%', 'quality_issues': 5, 'customer_complaints': 2}",contacto_98@empresa.com,"['None', 'ISO 9001']"
99,Proveedor_99,Pequeña,USA,Medio,Net 30,0,10569,"{'on_time_delivery': '92%', 'quality_issues': 0, 'customer_complaints': 6}",contacto_99@empresa.com,"['ISO 9001', 'OHSAS 18001', 'ISO 45001']"
100,Proveedor_100,Pequeña,México,Alto,Net 90,0,9300,"{'on_time_delivery': '88%', 'quality_issues': 5, 'customer_complaints': 4}",contacto_100@empresa.com,"['OHSAS 18001', 'ISO 9001']"
101,Proveedor_101,Grande,México,Bajo,Net 30,5,44037,"{'on_time_delivery': '93%', 'quality_issues': 5, 'customer_complaints': 8}",contacto_101@empresa.com,"['OHSAS 18001', 'ISO 9001', 'ISO 14001']"
102,Proveedor_102,Grande,Canadá,Bajo,Net 90,10,41586,"{'on_time_delivery': '95%', 'quality_issues': 1, 'customer_complaints': 3}",contacto_102@empresa.com,"['ISO 9001', 'ISO 45001']"
103,Proveedor_103,Grande,Brasil,Bajo,Net 30,10,17015,"{'on_time_delivery': '89%', 'quality_issues': 1, 'customer_complaints': 0}",contacto_103@empresa.com,"['ISO 45001', 'ISO 14001']"
104,Proveedor_104,Pequeña,México,Bajo,Net 60,0,11254,"{'on_time_delivery': '98%', 'quality_issues': 5, 'customer_complaints': 8}",contacto_104@empresa.com,"['ISO 14001', 'OHSAS 18001']"
105,Proveedor_105,Grande,USA,Alto,Net 30,0,22144,"{'on_time_delivery': '81%', 'quality_issues': 7, 'customer_complaints': 5}",contacto_105@empresa.com,"['None', 'ISO 45001', 'ISO 14001']"
106,Proveedor_106,Grande,Brasil,Medio,Net 30,5,29214,"{'on_time_delivery': '81%', 'quality_issues': 0, 'customer_complaints': 9}",contacto_106@empresa.com,"['None', 'OHSAS 18001']"
107,Proveedor_107,Pequeña,Brasil,Bajo,Net 60,5,45118,"{'on_time_delivery': '95%', 'quality_issues': 4, 'customer_complaints': 8}",contacto_107@empresa.com,"['ISO 14001', 'ISO 9001']"
108,Proveedor_108,Grande,USA,Medio,Net 30,10,20183,"{'on_time_delivery': '85%', 'quality_issues': 0, 'customer_complaints': 8}",contacto_108@empresa.com,"['ISO 45001', 'ISO 14001']"
109,Proveedor_109,Pequeña,México,Alto,Net 60,15,11238,"{'on_time_delivery': '82%', 'quality_issues': 4, 'customer_complaints': 1}",contacto_109@empresa.com,"['None', 'ISO 45001']"
110,Proveedor_110,Mediana,USA,Alto,Net 30,10,11090,"{'on_time_delivery': '99%', 'quality_issues': 2, 'customer_complaints': 10}",contacto_110@empresa.com,"['ISO 9001', 'ISO 45001']"
111,Proveedor_111,Grande,Brasil,Alto,Net 90,0,16637,"{'on_time_delivery': '87%', 'quality_issues': 4, 'customer_complaints': 1}",contacto_111@empresa.com,"['ISO 14001', 'ISO 45001']"
112,Proveedor_112,Mediana,Argentina,Bajo,Net 90,10,27415,"{'on_time_delivery': '98%', 'quality_issues': 1, 'customer_complaints': 9}",contacto_112@empresa.com,['OHSAS 18001']
113,Proveedor_113,Pequeña,Argentina,Medio,Net 30,15,29071,"{'on_time_delivery': '99%', 'quality_issues': 0, 'customer_complaints': 9}",contacto_113@empresa.com,"['OHSAS 18001', 'None']"
114,Proveedor_114,Grande,Canadá,Medio,Net 30,5,47679,"{'on_time_delivery': '82%', 'quality_issues': 3, 'customer_complaints': 10}",contacto_114@empresa.com,"['OHSAS 18001', 'ISO 9001', 'None']"
115,Proveedor_115,Pequeña,USA,Medio,Net 30,15,46240,"{'on_time_delivery': '98%', 'quality_issues': 4, 'customer_complaints': 8}",contacto_115@empresa.com,['ISO 9001']
116,Proveedor_116,Mediana,USA,Alto,Net 90,15,23271,"{'on_time_delivery': '90%', 'quality_issues': 3, 'customer_complaints': 3}",contacto_116@empresa.com,['ISO 45001']
117,Proveedor_117,Pequeña,Canadá,Bajo,Net 30,15,41034,"{'on_time_delivery': '90%', 'quality_issues': 1, 'customer_complaints': 4}",contacto_117@empresa.com,"['None', 'ISO 14001']"
118,Proveedor_118,Grande,Canadá,Alto,Net 90,5,38434,"{'on_time_delivery': '92%', 'quality_issues': 3, 'customer_complaints': 10}",contacto_118@empresa.com,"['ISO 45001', 'None', 'ISO 14001']"
119,Proveedor_119,Grande,Canadá,Alto,Net 60,15,9188,"{'on_time_delivery': '100%', 'quality_issues': 5, 'customer_complaints': 7}",contacto_119@empresa.com,['ISO 9001']
120,Proveedor_120,Mediana,Brasil,Medio,Net 90,15,15161,"{'on_time_delivery': '90%', 'quality_issues': 0, 'customer_complaints': 0}",contacto_120@empresa.com,"['ISO 14001', 'ISO 45001']"
121,Proveedor_121,Pequeña,USA,Alto,Net 90,15,33732,"{'on_time_delivery': '94%', 'quality_issues': 9, 'customer_complaints': 9}",contacto_121@empresa.com,"['ISO 14001', 'OHSAS 18001', 'ISO 45001']"
122,Proveedor_122,Grande,Brasil,Medio,Net 60,0,16314,"{'on_time_delivery': '83%', 'quality_issues': 0, 'customer_complaints': 8}",contacto_122@empresa.com,"['OHSAS 18001', 'ISO 45001', 'None']"
123,Proveedor_123,Mediana,Canadá,Bajo,Net 90,15,28954,"{'on_time_delivery': '86%', 'quality_issues': 4, 'customer_complaints': 4}",contacto_123@empresa.com,"['OHSAS 18001', 'ISO 45001', 'None']"
124,Proveedor_124,Grande,USA,Medio,Net 30,5,26508,"{'on_time_delivery': '84%', 'quality_issues': 2, 'customer_complaints': 1}",contacto_124@empresa.com,"['OHSAS 18001', 'None', 'ISO 45001']"
125,Proveedor_125,Grande,Brasil,Bajo,Net 30,15,26969,"{'on_time_delivery': '87%', 'quality_issues': 2, 'customer_complaints': 4}",contacto_125@empresa.com,"['OHSAS 18001', 'None']"
126,Proveedor_126,Pequeña,Brasil,Medio,Net 90,15,42545,"{'on_time_delivery': '85%', 'quality_issues': 3, 'customer_complaints': 8}",contacto_126@empresa.com,"['ISO 14001', 'ISO 9001']"
127,Proveedor_127,Grande,Canadá,Alto,Net 30,5,41668,"{'on_time_delivery': '89%', 'quality_issues': 9, 'customer_complaints': 10}",contacto_127@empresa.com,"['ISO 14001', 'OHSAS 18001', 'ISO 9001']"
128,Proveedor_128,Pequeña,USA,Alto,Net 90,15,28061,"{'on_time_delivery': '96%', 'quality_issues': 3, 'customer_complaints': 10}",contacto_128@empresa.com,"['None', 'ISO 14001', 'ISO 9001']"
129,Proveedor_129,Grande,Canadá,Bajo,Net 30,5,18716,"{'on_time_delivery': '97%', 'quality_issues': 2, 'customer_complaints': 10}",contacto_129@empresa.com,['ISO 45001']
130,Proveedor_130,Mediana,USA,Bajo,Net 30,15,44749,"{'on_time_delivery': '83%', 'quality_issues': 1, 'customer_complaints': 4}",contacto_130@empresa.com,"['None', 'OHSAS 18001']"
131,Proveedor_131,Grande,Argentina,Bajo,Net 90,5,44144,"{'on_time_delivery': '83%', 'quality_issues': 0, 'customer_complaints': 8}",contacto_131@empresa.com,['ISO 14001']
132,Proveedor_132,Pequeña,México,Medio,Net 30,15,21907,"{'on_time_delivery': '84%', 'quality_issues': 2, 'customer_complaints': 4}",contacto_132@empresa.com,"['ISO 14001', 'OHSAS 18001']"
133,Proveedor_133,Pequeña,México,Medio,Net 90,15,23777,"{'on_time_delivery': '99%', 'quality_issues': 1, 'customer_complaints': 5}",contacto_133@empresa.com,['OHSAS 18001']
134,Proveedor_134,Mediana,México,Bajo,Net 30,0,32693,"{'on_time_delivery': '86%', 'quality_issues': 5, 'customer_complaints': 10}",contacto_134@empresa.com,['None']
