ID_transaccion,proveedor_id,fecha_factura,fecha_vencimiento,monto,condiciones_pago,estado_pago,dias_credito,descuento_pronto_pago,penalizacion_mora,metodo_pago,aprobador
193,1000,2022-02-13,2023-02-25,7859.35,90 días,Pendiente,30,10,1,Transferencia,David
194,1026,2022-09-06,2023-01-14,4346.95,90 días,Pendiente,90,5,1,Efectivo,Charlie
195,1061,2022-02-05,2023-07-16,2090.55,60 días,Retrasado,90,10,0,Transferencia,Alice
196,1076,2022-09-30,2023-03-17,5190.59,60 días,Retrasado,90,5,2,Efectivo,David
197,1002,2022-03-06,2023-01-29,7388.67,60 días,Retrasado,60,0,1,Transferencia,Bob
198,1069,2022-03-07,2023-12-11,4420.55,30 días,Pendiente,90,10,0,Efectivo,John Doe
199,1071,2022-12-04,2023-01-30,6701.04,60 días,Pendiente,30,10,0,Transferencia,Charlie
200,1026,2022-09-01,2023-04-14,1033.84,30 días,Pagado,90,0,1,Transferencia,David
201,1008,2022-10-09,2023-05-18,7505.25,30 días,Pendiente,60,10,1,Efectivo,Alice
202,1061,2022-03-26,2023-03-25,8145.86,60 días,Retrasado,30,0,1,Efectivo,Alice
203,1036,2022-05-16,2023-05-28,7097.69,60 días,Pagado,90,5,2,Cheque,Bob
204,1096,2022-09-28,2023-12-17,9675.91,30 días,Pendiente,30,5,2,Cheque,Charlie
205,1050,2022-11-07,2023-05-10,8283.86,90 días,Pendiente,30,10,0,Efectivo,Unauthorized User
206,1043,2022-08-05,2023-03-17,9040.63,90 días,Retrasado,90,5,0,Efectivo,Bob
207,1023,2022-04-19,2023-02-02,9342.35,30 días,Pagado,90,5,1,Transferencia,Charlie
208,1078,2022-10-04,2023-12-21,8033.35,60 días,Pendiente,60,0,0,Transferencia,Alice
209,1058,2022-12-20,2023-06-02,6775.16,30 días,Pendiente,90,5,2,Cheque,Bob
210,1031,2022-04-13,2023-04-16,156.61,30 días,Retrasado,90,5,0,Cheque,Charlie
211,1095,2023-01-01,2023-10-06,4711.67,60 días,Pagado,90,5,0,Cheque,Alice
212,1087,2022-06-09,2023-01-18,5754.51,90 días,Pagado,30,0,1,Transferencia,Charlie
213,1051,2022-07-24,2023-07-04,8140.997787995623,30 días,Pagado,60,10,1,Transferencia,Bob
214,1061,2022-12-10,2023-08-21,3249.23,90 días,Pagado,30,0,2,Transferencia,David
215,1057,2022-11-29,2023-02-23,18679.913328945586,90 días,Retrasado,90,10,0,Cheque,Charlie
216,1051,2022-07-11,2023-11-13,8927.94,60 días,Pendiente,60,10,0,Efectivo,David
217,1011,2022-08-13,2023-12-13,24272.156012615083,30 días,Pendiente,90,5,0,Cheque,Bob
218,1038,2022-09-22,2023-10-16,4119.52,30 días,Pagado,30,5,1,Transferencia,Alice
219,1001,2022-08-20,2023-04-26,235.62,90 días,Pagado,30,0,2,Cheque,Charlie
220,1002,2022-03-03,2023-11-29,894.2,90 días,Pagado,90,0,0,Cheque,Alice
221,1055,2022-05-07,2023-10-16,3190.74,60 días,Pendiente,60,0,0,Cheque,David
222,1080,2022-04-26,2023-07-20,255.85,90 días,Pendiente,30,5,0,Cheque,David
223,1058,2022-02-02,2023-05-03,269.78,60 días,Pagado,90,10,0,Transferencia,Alice
224,1001,2022-06-23,2023-09-20,9174.37,30 días,Retrasado,90,0,2,Cheque,Bob
225,1001,2022-01-11,2023-12-24,7090.97,60 días,Pendiente,90,10,2,Transferencia,David
226,1091,2022-10-29,2023-05-29,3158.66,90 días,Pendiente,60,5,2,Cheque,Bob
227,1053,2022-10-11,2023-12-22,1413.18,30 días,Pagado,90,5,1,Transferencia,Alice
228,1086,2022-04-28,2023-12-08,5165.19,60 días,Retrasado,90,5,0,Efectivo,Bob
229,1095,2022-10-29,2023-01-26,152.93,30 días,Pagado,30,5,0,Transferencia,David
230,1096,2022-04-23,2023-07-16,9390.3,60 días,Pagado,90,10,0,Transferencia,Alice
231,1000,2022-01-04,2023-07-19,4206.67,90 días,Retrasado,60,10,0,Efectivo,Bob
232,1018,2022-02-06,2023-08-03,4083.12,90 días,Retrasado,90,0,2,Efectivo,Bob
233,1001,2022-12-29,2023-12-18,3966.88,30 días,Retrasado,60,10,1,Efectivo,Charlie
234,1052,2022-11-20,2023-06-11,786.35,30 días,Pendiente,90,10,1,Efectivo,David
235,1043,2022-01-31,2023-10-11,6419.39,30 días,Pagado,90,10,0,Efectivo,Charlie
236,1089,2022-04-28,2023-01-29,7356.74,60 días,Pendiente,90,0,2,Efectivo,Bob
237,1031,2022-02-04,2023-01-08,6793.64,90 días,Retrasado,60,10,1,Cheque,David
238,1069,2022-01-17,2023-05-10,1470.51,30 días,Pendiente,30,10,1,Cheque,Alice
239,1031,2022-06-19,2023-04-15,5830.52,30 días,Retrasado,60,10,0,Efectivo,Alice
240,1067,2022-02-06,2023-11-15,5737.9,30 días,Retrasado,30,5,1,Transferencia,Alice
241,1054,2022-09-21,2023-08-16,8697.27,60 días,Pagado,60,10,0,Transferencia,Bob
242,1074,2022-05-02,2023-04-27,3853.36,30 días,Pagado,90,0,2,Efectivo,Bob
243,1055,2022-05-23,2023-11-22,3777.71,30 días,Pagado,90,0,0,Cheque,Alice
244,1016,2022-12-09,2023-12-28,6223.42,60 días,Pendiente,30,0,1,Cheque,Charlie
245,1037,2022-09-06,2023-12-31,6367.42,60 días,Pagado,30,0,0,Transferencia,Charlie
246,1023,2022-04-20,2023-11-29,4745.92,30 días,Retrasado,60,5,0,Efectivo,David
247,1068,2022-10-04,2023-07-09,4486.29,30 días,Pagado,60,0,0,Cheque,David
248,1097,2022-03-09,2023-10-30,4992.06,60 días,Pendiente,30,5,0,Efectivo,Alice
249,1069,2022-10-20,2023-10-08,8624.35,90 días,Pagado,30,5,0,Efectivo,Bob
250,1085,2022-10-23,2023-11-06,4665.55,60 días,Pagado,60,5,0,Transferencia,Bob
251,1010,2022-08-31,2023-04-12,9405.32,90 días,Pagado,30,0,1,Efectivo,David
252,1015,2022-05-05,2023-04-11,5089.64,30 días,Pendiente,30,0,0,Efectivo,Alice
253,1096,2022-08-31,2023-06-01,9497.09,30 días,Retrasado,30,5,1,Transferencia,David
254,1072,2022-07-28,2023-08-19,8345.04,90 días,Retrasado,30,5,0,Cheque,Charlie
255,1058,2022-04-08,2023-04-02,3688.07,60 días,Retrasado,90,0,2,Efectivo,Alice
256,1069,2022-02-18,2023-12-17,8650.05,30 días,Pagado,90,10,0,Transferencia,Alice
257,1079,2022-02-19,2023-02-09,1189.63,90 días,Pagado,30,10,1,Cheque,Alice
258,1092,2022-12-04,2023-04-07,9257.97,60 días,Pendiente,60,10,1,Efectivo,Charlie
259,1002,2022-08-09,2023-03-31,6353.27,90 días,Retrasado,90,0,2,Cheque,Alice
260,1019,2022-07-01,2023-09-22,638.47,60 días,Pagado,60,0,0,Transferencia,David
261,1058,2022-08-05,2023-03-04,6478.14,60 días,Pagado,60,5,2,Efectivo,Charlie
262,1035,2022-07-30,2023-07-14,9745.05,60 días,Pagado,90,0,0,Transferencia,Bob
263,1018,2022-08-28,2023-01-22,791.03,60 días,Pendiente,60,0,0,Transferencia,David
264,1089,2022-01-28,2023-08-09,5591.41,90 días,Retrasado,60,0,1,Efectivo,David
265,1066,2022-12-11,2023-05-24,7503.16,90 días,Pendiente,30,5,2,Transferencia,David
266,1018,2022-12-01,2023-10-13,8121.56,90 días,Retrasado,30,5,2,Cheque,Charlie
267,1019,2022-11-27,2023-05-17,4196.89,90 días,Retrasado,30,10,1,Transferencia,David
268,1095,2022-02-20,2023-03-09,2121.25,90 días,Pagado,90,10,1,Efectivo,Charlie
269,1070,2022-02-01,2023-03-25,519.19,60 días,Pagado,30,0,2,Efectivo,Alice
270,1051,2022-07-26,2023-10-28,5839.29,30 días,Pagado,60,0,1,Cheque,Bob
271,1032,2022-06-23,2023-05-12,4583.82,30 días,Pagado,60,5,0,Efectivo,Alice
272,1039,2022-02-25,2023-01-04,9492.57,90 días,Pagado,60,10,2,Transferencia,David
273,1038,2022-05-08,2023-06-20,699.99,90 días,Retrasado,60,10,2,Transferencia,Charlie
274,1081,2022-04-09,2023-08-28,6885.41,30 días,Pagado,-60,10,1,Efectivo,Charlie
275,1000,2022-04-08,2023-12-31,347.17,60 días,Pagado,90,0,0,Cheque,Alice
276,1010,2022-10-02,2023-03-22,1797.2,90 días,Pendiente,-60,0,2,Cheque,David
277,1091,2022-08-18,2023-01-22,4590.43,60 días,Pendiente,90,0,2,Efectivo,Bob
278,1056,2022-03-13,2023-03-21,4603.24,30 días,Retrasado,-60,5,0,Transferencia,Charlie
279,1088,2022-08-05,2023-06-16,6888.44,30 días,Retrasado,90,10,1,Efectivo,Charlie
280,1049,2022-04-04,2023-11-03,9111.11,90 días,Pendiente,90,5,1,Efectivo,David
281,1022,2022-05-23,2023-01-28,6426.42,60 días,Pendiente,60,10,1,Cheque,Charlie
